eventStartTime,eventEndTime,eventCond,imSize,imFile,responseEvent,fixRespStart,fixRespEnd,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationResponse.started,fixationResponse.stopped,fixationInside.started,fixationInside.stopped,participantResponse.rt,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,12.361964100000478,None,1,4.554114099999424,12.361964100000478,None,,,,,,,,,,,,,,,,,,,,,005,P010,2025_Feb_01_1534,ConditionRich,2021.2.3,59.93206101548278,
,,,,,,,,,,,,,,,,,,16.929013200002373,5,13.64338620000126,16.941520300002594,None,,,,,,,,,,,,,,,,005,P010,2025_Feb_01_1534,ConditionRich,2021.2.3,59.93206101548278,
0.0,4.0,0,0.0,Stimuli/Blank.png,0,0,0.0,0,0,0,0,,,,,,,,,,,,30.591396700001496,0.04251680000015767,0.04251680000015767,None,30.65365600000223,None,30.65365600000223,None,30.65365600000223,None,30.65365600000223,30.65365600000223,30.65365600000223,None,,005,P010,2025_Feb_01_1534,ConditionRich,2021.2.3,59.93206101548278,
4.0,7.75,21,0.75,Stimuli/P010/things_boy_05s.jpg,0,0,0.0,0,1,1,1,,,,,,,,,,,,,4.018373099999735,0.018373099999735132,None,34.62407400000302,34.62407400000302,34.62407400000302,34.62407400000302,34.62407400000302,34.62407400000302,34.62407400000302,34.62407400000302,34.62407400000302,34.62407400000302,,005,P010,2025_Feb_01_1534,ConditionRich,2021.2.3,59.93206101548278,
7.75,8.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,2,2,2,,,,,,,,,,,,,7.754359000002296,0.004359000002295943,None,38.3607677,38.3607677,38.3607677,38.3607677,38.3607677,38.3607677,38.3607677,38.3607677,38.3607677,38.3607677,,005,P010,2025_Feb_01_1534,ConditionRich,2021.2.3,59.93206101548278,
8.0,11.75,27,0.75,Stimuli/P010/things_curling_iron_05s.jpg,0,0,0.0,0,3,3,3,,,,,,,,,,,,,8.005465099999128,0.005465099999128142,None,38.61064140000235,38.61064140000235,38.61064140000235,38.61064140000235,38.61064140000235,38.61064140000235,38.61064140000235,38.61064140000235,38.61064140000235,38.61064140000235,,005,P010,2025_Feb_01_1534,ConditionRich,2021.2.3,59.93206101548278,
11.75,12.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,4,4,4,,,,,,,,,,,,,11.760009300000092,0.01000930000009248,None,42.38066340000296,42.38066340000296,42.38066340000296,42.38066340000296,42.38066340000296,42.38066340000296,42.38066340000296,42.38066340000296,42.38066340000296,42.38066340000296,,005,P010,2025_Feb_01_1534,ConditionRich,2021.2.3,59.93206101548278,
12.0,15.75,12,0.75,Stimuli/P010/sun_birmwgkdtrlevcaf.jpg,0,0,0.0,0,5,5,5,,,,,,,,,,,,,12.025886200000969,0.02588620000096853,None,42.630865000002814,42.630865000002814,42.630865000002814,42.630865000002814,42.630865000002814,42.630865000002814,42.630865000002814,42.630865000002814,42.630865000002814,42.630865000002814,,005,P010,2025_Feb_01_1534,ConditionRich,2021.2.3,59.93206101548278,
15.75,16.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,6,6,6,,,,,,,,,,,,,15.76172470000165,0.01172470000165049,None,46.36750960000063,46.36750960000063,46.36750960000063,46.36750960000063,46.36750960000063,46.36750960000063,46.36750960000063,46.36750960000063,46.36750960000063,46.36750960000063,,005,P010,2025_Feb_01_1534,ConditionRich,2021.2.3,59.93206101548278,
16.0,19.75,17,0.75,Stimuli/P010/sun_brkrfjpyfglmigkk.jpg,1,3,3.75,0,7,7,7,,,,,,,,,,,,,16.01215020000018,0.012150200000178302,1,46.61773060000269,46.61773060000269,46.61773060000269,46.61773060000269,46.61773060000269,46.61773060000269,49.60369870000068,50.354385900001944,46.61773060000269,46.61773060000269,3.421316100000695,005,P010,2025_Feb_01_1534,ConditionRich,2021.2.3,59.93206101548278,
