eventStartTime,eventEndTime,eventCond,imSize,imFile,responseEvent,fixRespStart,fixRespEnd,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.rt,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationResponse.started,fixationResponse.stopped,fixationInside.started,fixationInside.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,17.686784500001522,None,4,1.2451443999998446,17.686784500001522,None,,,,,,,,,,,,,,,,,,,,,002,P004,2025_Jan_18_1338,ConditionRich,2021.2.3,59.950456942447865,
,,,,,,,,,,,,,,,,,,18.949126999999862,5,13.15418249999857,18.961627900000167,None,,,,,,,,,,,,,,,,002,P004,2025_Jan_18_1338,ConditionRich,2021.2.3,59.950456942447865,
0.0,4.0,0,0.0,Stimuli/Blank.png,0,0,0.0,0,0,0,0,,,,,,,,,,,,32.12710160000279,0.028357700000924524,0.028357700000924524,5,3.942845800000214,32.17322000000058,None,32.17322000000058,None,32.17322000000058,None,32.17322000000058,32.17322000000058,32.17322000000058,None,002,P004,2025_Jan_18_1338,ConditionRich,2021.2.3,59.950456942447865,
4.0,7.75,19,0.75,Stimuli/P004/sun_bucebxfexknakpma.jpg,0,0,0.0,0,1,1,1,,,,,,,,,,,,,4.019184200002201,0.01918420000220067,5,1.938803299999563,36.17704880000019,36.17704880000019,36.17704880000019,36.17704880000019,36.17704880000019,36.17704880000019,36.17704880000019,36.17704880000019,36.17704880000019,36.17704880000019,002,P004,2025_Jan_18_1338,ConditionRich,2021.2.3,59.950456942447865,
7.75,8.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,2,2,2,,,,,,,,,,,,,7.772805399999925,0.022805399999924703,5,0.18544010000186972,39.93038720000186,39.93038720000186,39.93038720000186,39.93038720000186,39.93038720000186,39.93038720000186,39.93038720000186,39.93038720000186,39.93038720000186,39.93038720000186,002,P004,2025_Jan_18_1338,ConditionRich,2021.2.3,59.950456942447865,
8.0,11.75,26,0.75,Stimuli/P004/things_ham_02s.jpg,0,0,0.0,0,3,3,3,,,,,,,,,,,,,8.022519000001921,0.022519000001921086,5,1.9522362999996403,40.16357540000172,40.16357540000172,40.16357540000172,40.16357540000172,40.16357540000172,40.16357540000172,40.16357540000172,40.16357540000172,40.16357540000172,40.16357540000172,002,P004,2025_Jan_18_1338,ConditionRich,2021.2.3,59.950456942447865,
11.75,12.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,4,4,4,,,,,,,,,,,,,11.758655699999508,0.008655699999508215,5,0.21560499999759486,43.90020180000283,43.90020180000283,43.90020180000283,43.90020180000283,43.90020180000283,43.90020180000283,43.90020180000283,43.90020180000283,43.90020180000283,43.90020180000283,002,P004,2025_Jan_18_1338,ConditionRich,2021.2.3,59.950456942447865,
12.0,15.75,30,0.75,Stimuli/P004/things_music_box_02s.jpg,0,0,0.0,0,5,5,5,,,,,,,,,,,,,12.00895280000259,0.008952800002589356,5,1.9653857999983302,44.15043910000168,44.15043910000168,44.15043910000168,44.15043910000168,44.15043910000168,44.15043910000168,44.15043910000168,44.15043910000168,44.15043910000168,44.15043910000168,002,P004,2025_Jan_18_1338,ConditionRich,2021.2.3,59.950456942447865,
15.75,16.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,6,6,6,,,,,,,,,,,,,15.762214300000778,0.012214300000778167,5,0.21219059999930323,47.90369490000012,47.90369490000012,47.90369490000012,47.90369490000012,47.90369490000012,47.90369490000012,47.90369490000012,47.90369490000012,47.90369490000012,47.90369490000012,002,P004,2025_Jan_18_1338,ConditionRich,2021.2.3,59.950456942447865,
16.0,19.75,22,0.75,Stimuli/P004/things_boy_02s.jpg,1,1,1.75,0,7,7,7,,,,,,,,,,,,,16.013108099999954,0.013108099999953993,5,1.945278099999996,48.1705965000001,48.1705965000001,48.1705965000001,48.1705965000001,48.1705965000001,48.1705965000001,49.13812880000114,49.88879029999953,48.1705965000001,48.1705965000001,002,P004,2025_Jan_18_1338,ConditionRich,2021.2.3,59.950456942447865,
19.75,20.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,8,8,8,,,,,,,,,,,,,19.7678178999995,0.017817899999499787,5,0.19208879999860073,51.92394070000228,51.92394070000228,51.92394070000228,51.92394070000228,51.92394070000228,51.92394070000228,51.92394070000228,51.92394070000228,51.92394070000228,51.92394070000228,002,P004,2025_Jan_18_1338,ConditionRich,2021.2.3,59.950456942447865,
20.0,23.75,2,0.75,Stimuli/P004/sun_afijjzyziczoqdhz.jpg,0,0,0.0,0,9,9,9,,,,,,,,,,,,,20.016634300001897,0.016634300001896918,5,1.9585234000005585,52.15747209999972,52.15747209999972,52.15747209999972,52.15747209999972,52.15747209999972,52.15747209999972,52.15747209999972,52.15747209999972,52.15747209999972,52.15747209999972,002,P004,2025_Jan_18_1338,ConditionRich,2021.2.3,59.950456942447865,
23.75,24.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,10,10,10,,,,,,,,,,,,,23.753955300002417,0.0039553000024170615,5,0.20489459999953397,55.9107834000024,55.9107834000024,55.9107834000024,55.9107834000024,55.9107834000024,55.9107834000024,55.9107834000024,55.9107834000024,55.9107834000024,55.9107834000024,002,P004,2025_Jan_18_1338,ConditionRich,2021.2.3,59.950456942447865,
24.0,27.75,23,0.75,Stimuli/P004/things_butterfly_02s.jpg,0,0,0.0,0,11,11,11,,,,,,,,,,,,,24.01977910000278,0.01977910000277916,5,1.954763699999603,56.16098140000031,56.16098140000031,56.16098140000031,56.16098140000031,56.16098140000031,56.16098140000031,56.16098140000031,56.16098140000031,56.16098140000031,56.16098140000031,002,P004,2025_Jan_18_1338,ConditionRich,2021.2.3,59.950456942447865,
27.75,28.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,12,12,12,,,,,,,,,,,,,27.756897999999637,0.00689799999963725,5,0.2180984000005992,59.897614800000156,59.897614800000156,59.897614800000156,59.897614800000156,59.897614800000156,59.897614800000156,59.897614800000156,59.897614800000156,59.897614800000156,59.897614800000156,002,P004,2025_Jan_18_1338,ConditionRich,2021.2.3,59.950456942447865,
28.0,31.75,35,0.75,Stimuli/P004/things_satellite_dish_02s.jpg,1,3,3.75,0,13,13,13,,,,,,,,,,,,,28.006725999999617,0.006725999999616761,4,3.500855900001625,60.147825800002465,60.147825800002465,60.147825800002465,60.147825800002465,60.147825800002465,60.147825800002465,63.133785800000624,63.884524600001896,60.147825800002465,60.147825800002465,002,P004,2025_Jan_18_1338,ConditionRich,2021.2.3,59.950456942447865,
31.75,32.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,14,14,14,,,,,,,,,,,,,31.76215510000111,0.012155100001109531,5,0.1978942999994615,63.91782199999943,63.91782199999943,63.91782199999943,63.91782199999943,63.91782199999943,63.91782199999943,63.91782199999943,63.91782199999943,63.91782199999943,63.91782199999943,002,P004,2025_Jan_18_1338,ConditionRich,2021.2.3,59.950456942447865,
32.0,35.75,1,0.75,Stimuli/P004/sun_adgmtzznutwlescq.jpg,1,2,2.75,0,15,15,15,,,,,,,,,,,,,32.02629610000076,0.026296100000763545,4,2.637731000002532,64.168044500002,64.168044500002,64.168044500002,64.168044500002,64.168044500002,64.168044500002,66.1531109000025,66.90376880000258,64.168044500002,64.168044500002,002,P004,2025_Jan_18_1338,ConditionRich,2021.2.3,59.950456942447865,
35.75,36.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,16,16,16,,,,,,,,,,,,,35.763314899999386,0.013314899999386398,5,0.2110735999995086,67.90464410000277,67.90464410000277,67.90464410000277,67.90464410000277,67.90464410000277,67.90464410000277,67.90464410000277,67.90464410000277,67.90464410000277,67.90464410000277,002,P004,2025_Jan_18_1338,ConditionRich,2021.2.3,59.950456942447865,
36.0,39.75,27,0.75,Stimuli/P004/things_llama_02s.jpg,0,0,0.0,0,17,17,17,,,,,,,,,,,,,36.01352510000288,0.013525100002880208,5,1.960840099996858,68.15487480000229,68.15487480000229,68.15487480000229,68.15487480000229,68.15487480000229,68.15487480000229,68.15487480000229,68.15487480000229,68.15487480000229,68.15487480000229,002,P004,2025_Jan_18_1338,ConditionRich,2021.2.3,59.950456942447865,
39.75,40.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,18,18,18,,,,,,,,,,,,,39.752339000002394,0.002339000002393732,5,0.2074685999978101,71.90818960000252,71.90818960000252,71.90818960000252,71.90818960000252,71.90818960000252,71.90818960000252,71.90818960000252,71.90818960000252,71.90818960000252,71.90818960000252,002,P004,2025_Jan_18_1338,ConditionRich,2021.2.3,59.950456942447865,
