eventStartTime,eventEndTime,eventCond,imSize,imFile,responseEvent,fixRespStart,fixRespEnd,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationResponse.started,fixationResponse.stopped,fixationInside.started,fixationInside.stopped,participantResponse.rt,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,14.809167800000068,None,2,13.412894199998846,14.809167800000068,None,,,,,,,,,,,,,,,,,,,,,009,P012,2025_Feb_08_1243,ConditionRich,2021.2.3,59.92854120729872,
,,,,,,,,,,,,,,,,,,28.234577299999728,5,15.23254739999902,28.24780439999995,None,,,,,,,,,,,,,,,,009,P012,2025_Feb_08_1243,ConditionRich,2021.2.3,59.92854120729872,
0.0,4.0,0,0.0,Stimuli/Blank.png,0,0.0,0.0,0,0,0,0,,,,,,,,,,,,43.49800430000141,0.03977409999970405,0.03977409999970405,None,43.561359500001345,None,43.561359500001345,None,43.561359500001345,None,43.561359500001345,43.561359500001345,43.561359500001345,None,,009,P012,2025_Feb_08_1243,ConditionRich,2021.2.3,59.92854120729872,
4.0,4.75,4,0.75,Stimuli/P012/sun_akpdzjejmtbfopdt.jpg,0,0.0,0.0,0,1,1,1,,,,,,,,,,,,,4.019620400000349,0.019620400000349036,None,47.53182580000066,47.53182580000066,47.53182580000066,47.53182580000066,47.53182580000066,47.53182580000066,47.53182580000066,47.53182580000066,47.53182580000066,47.53182580000066,,009,P012,2025_Feb_08_1243,ConditionRich,2021.2.3,59.92854120729872,
4.75,8.0,41,0.0,Stimuli/Blank.png,0,0.0,0.0,0,2,2,2,,,,,,,,,,,,,4.755589100001089,0.005589100001088809,None,48.28248420000091,48.28248420000091,48.28248420000091,48.28248420000091,48.28248420000091,48.28248420000091,48.28248420000091,48.28248420000091,48.28248420000091,48.28248420000091,,009,P012,2025_Feb_08_1243,ConditionRich,2021.2.3,59.92854120729872,
8.0,8.75,31,0.75,Stimuli/P012/things_hippopotamus_06s.jpg,0,0.0,0.0,0,3,3,3,,,,,,,,,,,,,8.024694499999896,0.024694499999895925,None,51.55176279999978,51.55176279999978,51.55176279999978,51.55176279999978,51.55176279999978,51.55176279999978,51.55176279999978,51.55176279999978,51.55176279999978,51.55176279999978,,009,P012,2025_Feb_08_1243,ConditionRich,2021.2.3,59.92854120729872,
8.75,12.0,41,0.0,Stimuli/Blank.png,0,0.0,0.0,0,4,4,4,,,,,,,,,,,,,8.775160600000163,0.025160600000162958,None,52.302431900001466,52.302431900001466,52.302431900001466,52.302431900001466,52.302431900001466,52.302431900001466,52.302431900001466,52.302431900001466,52.302431900001466,52.302431900001466,,009,P012,2025_Feb_08_1243,ConditionRich,2021.2.3,59.92854120729872,
12.0,12.75,18,0.75,Stimuli/P012/sun_bxlbxustiovyqyrg.jpg,0,0.0,0.0,0,5,5,5,,,,,,,,,,,,,12.025992800001404,0.025992800001404248,None,55.53861640000105,55.53861640000105,55.53861640000105,55.53861640000105,55.53861640000105,55.53861640000105,55.53861640000105,55.53861640000105,55.53861640000105,55.53861640000105,,009,P012,2025_Feb_08_1243,ConditionRich,2021.2.3,59.92854120729872,
12.75,16.0,41,0.0,Stimuli/Blank.png,0,0.0,0.0,0,6,6,6,,,,,,,,,,,,,12.760127300000022,0.010127300000021933,None,56.2726042000013,56.2726042000013,56.2726042000013,56.2726042000013,56.2726042000013,56.2726042000013,56.2726042000013,56.2726042000013,56.2726042000013,56.2726042000013,,009,P012,2025_Feb_08_1243,ConditionRich,2021.2.3,59.92854120729872,
16.0,16.75,19,0.75,Stimuli/P012/sun_byvwakrdyukjigpc.jpg,0,0.0,0.0,0,7,7,7,,,,,,,,,,,,,16.016082000000097,0.01608200000009674,None,59.542167300000074,59.542167300000074,59.542167300000074,59.542167300000074,59.542167300000074,59.542167300000074,59.542167300000074,59.542167300000074,59.542167300000074,59.542167300000074,,009,P012,2025_Feb_08_1243,ConditionRich,2021.2.3,59.92854120729872,
