eventStartTime,eventEndTime,eventCond,imSize,imFile,responseEvent,fixRespStart,fixRespEnd,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationResponse.started,fixationResponse.stopped,fixationInside.started,fixationInside.stopped,participantResponse.rt,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,10.906357199999547,None,2,15.622807300000204,10.906357199999547,None,,,,,,,,,,,,,,,,,,,,,003,P012,2025_Feb_08_1145,ConditionRich,2021.2.3,59.95631582785146,
,,,,,,,,,,,,,,,,,,26.540860299999622,5,13.118048799999087,26.554127499999595,None,,,,,,,,,,,,,,,,003,P012,2025_Feb_08_1145,ConditionRich,2021.2.3,59.95631582785146,
0.0,4.0,0,0.0,Stimuli/Blank.png,0,0.0,0.0,0,0,0,0,,,,,,,,,,,,39.68599449999965,0.0385221000015008,0.0385221000015008,None,39.74918249999973,None,39.74918249999973,None,39.74918249999973,None,39.74918249999973,39.74918249999973,39.74918249999973,None,,003,P012,2025_Feb_08_1145,ConditionRich,2021.2.3,59.95631582785146,
4.0,4.75,10,0.75,Stimuli/P012/sun_awufkrkrdrdbvvis.jpg,0,0.0,0.0,0,1,1,1,,,,,,,,,,,,,4.02415640000072,0.02415640000072017,None,43.736601900000096,43.736601900000096,43.736601900000096,43.736601900000096,43.736601900000096,43.736601900000096,43.736601900000096,43.736601900000096,43.736601900000096,43.736601900000096,,003,P012,2025_Feb_08_1145,ConditionRich,2021.2.3,59.95631582785146,
4.75,8.0,41,0.0,Stimuli/Blank.png,0,0.0,0.0,0,2,2,2,,,,,,,,,,,,,4.771882900000492,0.021882900000491645,None,44.487211199999365,44.487211199999365,44.487211199999365,44.487211199999365,44.487211199999365,44.487211199999365,44.487211199999365,44.487211199999365,44.487211199999365,44.487211199999365,,003,P012,2025_Feb_08_1145,ConditionRich,2021.2.3,59.95631582785146,
8.0,8.75,9,0.75,Stimuli/P012/sun_aupohozmrmtfgcsw.jpg,0,0.0,0.0,0,3,3,3,,,,,,,,,,,,,8.02255950000108,0.02255950000107987,None,47.72309399999904,47.72309399999904,47.72309399999904,47.72309399999904,47.72309399999904,47.72309399999904,47.72309399999904,47.72309399999904,47.72309399999904,47.72309399999904,,003,P012,2025_Feb_08_1145,ConditionRich,2021.2.3,59.95631582785146,
8.75,12.0,41,0.0,Stimuli/Blank.png,0,0.0,0.0,0,4,4,4,,,,,,,,,,,,,8.757140300000174,0.007140300000173738,None,48.45708179999929,48.45708179999929,48.45708179999929,48.45708179999929,48.45708179999929,48.45708179999929,48.45708179999929,48.45708179999929,48.45708179999929,48.45708179999929,,003,P012,2025_Feb_08_1145,ConditionRich,2021.2.3,59.95631582785146,
12.0,12.75,35,0.75,Stimuli/P012/things_raccoon_06n.jpg,0,0.0,0.0,0,5,5,5,,,,,,,,,,,,,12.010194600001341,0.010194600001341314,None,51.70993920000001,51.70993920000001,51.70993920000001,51.70993920000001,51.70993920000001,51.70993920000001,51.70993920000001,51.70993920000001,51.70993920000001,51.70993920000001,,003,P012,2025_Feb_08_1145,ConditionRich,2021.2.3,59.95631582785146,
12.75,16.0,41,0.0,Stimuli/Blank.png,0,0.0,0.0,0,6,6,6,,,,,,,,,,,,,12.760595500001727,0.010595500001727487,None,52.46061419999933,52.46061419999933,52.46061419999933,52.46061419999933,52.46061419999933,52.46061419999933,52.46061419999933,52.46061419999933,52.46061419999933,52.46061419999933,,003,P012,2025_Feb_08_1145,ConditionRich,2021.2.3,59.95631582785146,
16.0,16.75,5,0.75,Stimuli/P012/sun_anfwllcezhlypoti.jpg,0,0.0,0.0,0,7,7,7,,,,,,,,,,,,,16.01304590000109,0.01304590000108874,None,55.71350489999895,55.71350489999895,55.71350489999895,55.71350489999895,55.71350489999895,55.71350489999895,55.71350489999895,55.71350489999895,55.71350489999895,55.71350489999895,,003,P012,2025_Feb_08_1145,ConditionRich,2021.2.3,59.95631582785146,
