eventStartTime,eventEndTime,eventCond,imSize,imFile,responseEvent,fixRespStart,fixRespEnd,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.rt,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationResponse.started,fixationResponse.stopped,fixationInside.started,fixationInside.stopped,session,participant,date,expName,psychopyVersion,frameRate,
10.0,10.75,27,0.75,Stimuli/P003/things_llama_02s.jpg,0,0,0.0,0,13,13,13,,,,,,,,,,,,,10.007489800000258,0.007489800000257674,None,,38.81232799999998,38.81232799999998,38.81232799999998,38.81232799999998,38.81232799999998,38.81232799999998,38.81232799999998,38.81232799999998,38.81232799999998,38.81232799999998,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
10.75,11.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,14,14,14,,,,,,,,,,,,,10.759031499999764,0.009031499999764492,None,,39.56299299999955,39.56299299999955,39.56299299999955,39.56299299999955,39.56299299999955,39.56299299999955,39.56299299999955,39.56299299999955,39.56299299999955,39.56299299999955,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
11.0,11.75,27,0.75,Stimuli/P003/things_llama_02s.jpg,0,0,0.0,0,15,15,15,,,,,,,,,,,,,11.008921000000555,0.008921000000555068,None,,39.813210499998604,39.813210499998604,39.813210499998604,39.813210499998604,39.813210499998604,39.813210499998604,39.813210499998604,39.813210499998604,39.813210499998604,39.813210499998604,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
11.75,12.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,16,16,16,,,,,,,,,,,,,11.758791199999905,0.008791199999905075,5,0.21641389999967942,40.56387319999885,40.56387319999885,40.56387319999885,40.56387319999885,40.56387319999885,40.56387319999885,40.56387319999885,40.56387319999885,40.56387319999885,40.56387319999885,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
12.0,12.75,14,0.75,Stimuli/P003/sun_bhhtrmwvoadbfucw.jpg,0,0,0.0,0,17,17,17,,,,,,,,,,,,,12.009069899999304,0.009069899999303743,None,,40.81409699999858,40.81409699999858,40.81409699999858,40.81409699999858,40.81409699999858,40.81409699999858,40.81409699999858,40.81409699999858,40.81409699999858,40.81409699999858,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
12.75,13.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,18,18,18,,,,,,,,,,,,,12.760383900000306,0.010383900000306312,None,,41.56476109999858,41.56476109999858,41.56476109999858,41.56476109999858,41.56476109999858,41.56476109999858,41.56476109999858,41.56476109999858,41.56476109999858,41.56476109999858,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
13.0,13.75,14,0.75,Stimuli/P003/sun_bhhtrmwvoadbfucw.jpg,0,0,0.0,0,19,19,19,,,,,,,,,,,,,13.010175100000197,0.010175100000196835,None,,41.81497870000021,41.81497870000021,41.81497870000021,41.81497870000021,41.81497870000021,41.81497870000021,41.81497870000021,41.81497870000021,41.81497870000021,41.81497870000021,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
13.75,14.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,20,20,20,,,,,,,,,,,,,13.761163999999553,0.011163999999553198,5,0.214585799998531,42.56573049999861,42.56573049999861,42.56573049999861,42.56573049999861,42.56573049999861,42.56573049999861,42.56573049999861,42.56573049999861,42.56573049999861,42.56573049999861,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
14.0,14.75,14,0.75,Stimuli/P003/sun_bhhtrmwvoadbfucw.jpg,1,0,0.75,0,21,21,21,,,,,,,,,,,,,14.011300699999993,0.011300699999992503,1,0.4628039000017452,42.83254130000023,42.83254130000023,42.83254130000023,42.83254130000023,42.83254130000023,42.83254130000023,42.83254130000023,43.549824499999886,42.83254130000023,42.83254130000023,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
14.75,15.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,22,22,22,,,,,,,,,,,,,14.77902229999927,0.029022299999269308,None,,43.58320079999976,43.58320079999976,43.58320079999976,43.58320079999976,43.58320079999976,43.58320079999976,43.58320079999976,43.58320079999976,43.58320079999976,43.58320079999976,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
15.0,15.75,14,0.75,Stimuli/P003/sun_bhhtrmwvoadbfucw.jpg,0,0,0.0,0,23,23,23,,,,,,,,,,,,,15.01435180000044,0.014351800000440562,None,,43.83343169999898,43.83343169999898,43.83343169999898,43.83343169999898,43.83343169999898,43.83343169999898,43.83343169999898,43.83343169999898,43.83343169999898,43.83343169999898,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
15.75,16.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,24,24,24,,,,,,,,,,,,,15.77894919999926,0.0289491999992606,5,0.19603389999974752,44.584076399998594,44.584076399998594,44.584076399998594,44.584076399998594,44.584076399998594,44.584076399998594,44.584076399998594,44.584076399998594,44.584076399998594,44.584076399998594,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
16.0,16.75,1,0.75,Stimuli/P003/sun_adgmtzznutwlescq.jpg,0,0,0.0,0,25,25,25,,,,,,,,,,,,,16.012273500000447,0.012273500000446802,None,,44.81761259999985,44.81761259999985,44.81761259999985,44.81761259999985,44.81761259999985,44.81761259999985,44.81761259999985,44.81761259999985,44.81761259999985,44.81761259999985,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
16.75,17.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,26,26,26,,,,,,,,,,,,,16.763624699999127,0.013624699999127188,None,,45.56827449999946,45.56827449999946,45.56827449999946,45.56827449999946,45.56827449999946,45.56827449999946,45.56827449999946,45.56827449999946,45.56827449999946,45.56827449999946,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
17.0,17.75,1,0.75,Stimuli/P003/sun_adgmtzznutwlescq.jpg,0,0,0.0,0,27,27,27,,,,,,,,,,,,,17.0139106000006,0.013910600000599516,None,,45.818498999999065,45.818498999999065,45.818498999999065,45.818498999999065,45.818498999999065,45.818498999999065,45.818498999999065,45.818498999999065,45.818498999999065,45.818498999999065,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
17.75,18.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,28,28,28,,,,,,,,,,,,,17.764896399999998,0.014896399999997811,5,0.19427160000122967,46.58585889999995,46.58585889999995,46.58585889999995,46.58585889999995,46.58585889999995,46.58585889999995,46.58585889999995,46.58585889999995,46.58585889999995,46.58585889999995,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
18.0,18.75,1,0.75,Stimuli/P003/sun_adgmtzznutwlescq.jpg,0,0,0.0,0,29,29,29,,,,,,,,,,,,,18.0315928,0.03159279999999853,None,,46.85273699999925,46.85273699999925,46.85273699999925,46.85273699999925,46.85273699999925,46.85273699999925,46.85273699999925,46.85273699999925,46.85273699999925,46.85273699999925,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
18.75,19.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,30,30,30,,,,,,,,,,,,,18.78388620000078,0.033886200000779354,None,,47.603401499998654,47.603401499998654,47.603401499998654,47.603401499998654,47.603401499998654,47.603401499998654,47.603401499998654,47.603401499998654,47.603401499998654,47.603401499998654,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
19.0,19.75,1,0.75,Stimuli/P003/sun_adgmtzznutwlescq.jpg,0,0,0.0,0,31,31,31,,,,,,,,,,,,,19.015409499999805,0.01540949999980512,None,,47.82026719999885,47.82026719999885,47.82026719999885,47.82026719999885,47.82026719999885,47.82026719999885,47.82026719999885,47.82026719999885,47.82026719999885,47.82026719999885,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
19.75,20.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,32,32,32,,,,,,,,,,,,,19.749944299999697,-5.5700000302749686e-05,None,,48.5542432000002,48.5542432000002,48.5542432000002,48.5542432000002,48.5542432000002,48.5542432000002,48.5542432000002,48.5542432000002,48.5542432000002,48.5542432000002,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
20.0,20.75,25,0.75,Stimuli/P003/things_girl_02s.jpg,0,0,0.0,0,33,33,33,,,,,,,,,,,,,19.999800999999934,-0.0001990000000660075,None,,48.804486399998495,48.804486399998495,48.804486399998495,48.804486399998495,48.804486399998495,48.804486399998495,48.804486399998495,48.804486399998495,48.804486399998495,48.804486399998495,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
20.75,21.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,34,34,34,,,,,,,,,,,,,20.749849699999686,-0.0001503000003140187,None,,49.555114999999205,49.555114999999205,49.555114999999205,49.555114999999205,49.555114999999205,49.555114999999205,49.555114999999205,49.555114999999205,49.555114999999205,49.555114999999205,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
21.0,21.75,25,0.75,Stimuli/P003/things_girl_02s.jpg,1,0,0.75,0,35,35,35,,,,,,,,,,,,,21.00106810000034,0.0010681000003387453,1,0.41304130000025907,49.82204219999949,49.82204219999949,49.82204219999949,49.82204219999949,49.82204219999949,49.82204219999949,49.82204219999949,50.53934560000016,49.82204219999949,49.82204219999949,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
21.75,22.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,36,36,36,,,,,,,,,,,,,21.768536899999162,0.018536899999162415,None,,50.572688399999606,50.572688399999606,50.572688399999606,50.572688399999606,50.572688399999606,50.572688399999606,50.572688399999606,50.572688399999606,50.572688399999606,50.572688399999606,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
22.0,22.75,25,0.75,Stimuli/P003/things_girl_02s.jpg,0,0,0.0,0,37,37,37,,,,,,,,,,,,,22.00133730000016,0.0013373000001593027,None,,50.822894499999165,50.822894499999165,50.822894499999165,50.822894499999165,50.822894499999165,50.822894499999165,50.822894499999165,50.822894499999165,50.822894499999165,50.822894499999165,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
22.75,23.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,38,38,38,,,,,,,,,,,,,22.769773300000452,0.019773300000451854,None,,51.57356989999971,51.57356989999971,51.57356989999971,51.57356989999971,51.57356989999971,51.57356989999971,51.57356989999971,51.57356989999971,51.57356989999971,51.57356989999971,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
23.0,23.75,25,0.75,Stimuli/P003/things_girl_02s.jpg,0,0,0.0,0,39,39,39,,,,,,,,,,,,,23.00326689999929,0.0032668999992893077,None,,51.8237797999991,51.8237797999991,51.8237797999991,51.8237797999991,51.8237797999991,51.8237797999991,51.8237797999991,51.8237797999991,51.8237797999991,51.8237797999991,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
23.75,24.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,40,40,40,,,,,,,,,,,,,23.770195999999487,0.020195999999486958,None,,52.57446079999863,52.57446079999863,52.57446079999863,52.57446079999863,52.57446079999863,52.57446079999863,52.57446079999863,52.57446079999863,52.57446079999863,52.57446079999863,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
24.0,24.75,9,0.75,Stimuli/P003/sun_auqtrqkaobyprnjy.jpg,0,0,0.0,0,41,41,41,,,,,,,,,,,,,24.002624299999297,0.0026242999992973637,None,,52.80798799999866,52.80798799999866,52.80798799999866,52.80798799999866,52.80798799999866,52.80798799999866,52.80798799999866,52.80798799999866,52.80798799999866,52.80798799999866,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
24.75,25.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,42,42,42,,,,,,,,,,,,,24.753704599999764,0.0037045999997644685,None,,53.55864069999916,53.55864069999916,53.55864069999916,53.55864069999916,53.55864069999916,53.55864069999916,53.55864069999916,53.55864069999916,53.55864069999916,53.55864069999916,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
25.0,25.75,9,0.75,Stimuli/P003/sun_auqtrqkaobyprnjy.jpg,0,0,0.0,0,43,43,43,,,,,,,,,,,,,25.004581499999404,0.004581499999403604,None,,53.80884270000024,53.80884270000024,53.80884270000024,53.80884270000024,53.80884270000024,53.80884270000024,53.80884270000024,53.80884270000024,53.80884270000024,53.80884270000024,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
25.75,26.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,44,44,44,,,,,,,,,,,,,25.755527600000278,0.005527600000277744,5,0.20393200000034994,54.576268299999356,54.576268299999356,54.576268299999356,54.576268299999356,54.576268299999356,54.576268299999356,54.576268299999356,54.576268299999356,54.576268299999356,54.576268299999356,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
26.0,26.75,9,0.75,Stimuli/P003/sun_auqtrqkaobyprnjy.jpg,0,0,0.0,0,45,45,45,,,,,,,,,,,,,26.022018100000423,0.022018100000423146,None,,54.84311189999971,54.84311189999971,54.84311189999971,54.84311189999971,54.84311189999971,54.84311189999971,54.84311189999971,54.84311189999971,54.84311189999971,54.84311189999971,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
26.75,27.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,46,46,46,,,,,,,,,,,,,26.77413720000004,0.024137200000041048,None,,55.593852199999674,55.593852199999674,55.593852199999674,55.593852199999674,55.593852199999674,55.593852199999674,55.593852199999674,55.593852199999674,55.593852199999674,55.593852199999674,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
27.0,27.75,9,0.75,Stimuli/P003/sun_auqtrqkaobyprnjy.jpg,0,0,0.0,0,47,47,47,,,,,,,,,,,,,27.024913799999922,0.02491379999992205,None,,55.843981500000154,55.843981500000154,55.843981500000154,55.843981500000154,55.843981500000154,55.843981500000154,55.843981500000154,55.843981500000154,55.843981500000154,55.843981500000154,009,P003,2025_Jan_18_1222,ConditionRich,2021.2.3,59.93048064203119,
