eventStartTime,eventEndTime,eventCond,imSize,imFile,responseEvent,fixRespStart,fixRespEnd,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.rt,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationResponse.started,fixationResponse.stopped,fixationInside.started,fixationInside.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,12.860039300001517,None,2,15.939435600001161,12.860039300001517,None,,,,,,,,,,,,,,,,,,,,,005,P008,2025_Feb_01_1155,ConditionRich,2021.2.3,59.94276664674373,
,,,,,,,,,,,,,,,,,,28.811250500000824,5,13.121433800000887,28.824030100000527,None,,,,,,,,,,,,,,,,005,P008,2025_Feb_01_1155,ConditionRich,2021.2.3,59.94276664674373,
0.0,4.0,0,0.0,Stimuli/Blank.png,0,0,0.0,0,0,0,0,,,,,,,,,,,,41.95640680000179,0.03565420000086306,0.03565420000086306,2,0.5557609000006778,42.00254010000026,None,42.00254010000026,None,42.00254010000026,None,42.00254010000026,42.00254010000026,42.00254010000026,None,005,P008,2025_Feb_01_1155,ConditionRich,2021.2.3,59.94276664674373,
4.0,7.75,10,0.75,Stimuli/P008/sun_bdekcgnlcicvgpvq.jpg,0,0,0.0,0,1,1,1,,,,,,,,,,,,,4.0023352000007435,0.002335200000743498,None,,45.97300910000013,45.97300910000013,45.97300910000013,45.97300910000013,45.97300910000013,45.97300910000013,45.97300910000013,45.97300910000013,45.97300910000013,45.97300910000013,005,P008,2025_Feb_01_1155,ConditionRich,2021.2.3,59.94276664674373,
7.75,8.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,2,2,2,,,,,,,,,,,,,7.755100600001242,0.005100600001242128,None,,49.72640460000002,49.72640460000002,49.72640460000002,49.72640460000002,49.72640460000002,49.72640460000002,49.72640460000002,49.72640460000002,49.72640460000002,49.72640460000002,005,P008,2025_Feb_01_1155,ConditionRich,2021.2.3,59.94276664674373,
8.0,11.75,24,0.75,Stimuli/P008/things_collar_04s.jpg,0,0,0.0,0,3,3,3,,,,,,,,,,,,,8.005334800000128,0.005334800000127871,None,,49.97626540000056,49.97626540000056,49.97626540000056,49.97626540000056,49.97626540000056,49.97626540000056,49.97626540000056,49.97626540000056,49.97626540000056,49.97626540000056,005,P008,2025_Feb_01_1155,ConditionRich,2021.2.3,59.94276664674373,
11.75,12.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,4,4,4,,,,,,,,,,,,,11.760191200000918,0.010191200000917888,None,,53.72958960000142,53.72958960000142,53.72958960000142,53.72958960000142,53.72958960000142,53.72958960000142,53.72958960000142,53.72958960000142,53.72958960000142,53.72958960000142,005,P008,2025_Feb_01_1155,ConditionRich,2021.2.3,59.94276664674373,
12.0,15.75,26,0.75,Stimuli/P008/things_face_04s.jpg,0,0,0.0,0,5,5,5,,,,,,,,,,,,,12.008688200001416,0.00868820000141568,None,,53.97981660000005,53.97981660000005,53.97981660000005,53.97981660000005,53.97981660000005,53.97981660000005,53.97981660000005,53.97981660000005,53.97981660000005,53.97981660000005,005,P008,2025_Feb_01_1155,ConditionRich,2021.2.3,59.94276664674373,
15.75,16.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,6,6,6,,,,,,,,,,,,,15.7643689000015,0.014368900001500151,None,,57.74983610000163,57.74983610000163,57.74983610000163,57.74983610000163,57.74983610000163,57.74983610000163,57.74983610000163,57.74983610000163,57.74983610000163,57.74983610000163,005,P008,2025_Feb_01_1155,ConditionRich,2021.2.3,59.94276664674373,
16.0,19.75,32,0.75,Stimuli/P008/things_maggot_04s.jpg,0,0,0.0,0,7,7,7,,,,,,,,,,,,,16.029839700000593,0.02983970000059344,None,,58.00002850000055,58.00002850000055,58.00002850000055,58.00002850000055,58.00002850000055,58.00002850000055,58.00002850000055,58.00002850000055,58.00002850000055,58.00002850000055,005,P008,2025_Feb_01_1155,ConditionRich,2021.2.3,59.94276664674373,
