eventStartTime,eventEndTime,eventCond,imSize,imFile,responseEvent,fixRespStart,fixRespEnd,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.rt,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationResponse.started,fixationResponse.stopped,fixationInside.started,fixationInside.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,11.758657900001708,None,4,29.355519300002925,11.758657900001708,None,,,,,,,,,,,,,,,,,,,,,005,P004,2025_Jan_18_1408,ConditionRich,2021.2.3,59.911881604869734,
,,,,,,,,,,,,,,,,,,41.12656750000315,5,16.781757600001583,41.13980720000109,None,,,,,,,,,,,,,,,,005,P004,2025_Jan_18_1408,ConditionRich,2021.2.3,59.911881604869734,
0.0,4.0,0,0.0,Stimuli/Blank.png,0,0,0.0,0,0,0,0,,,,,,,,,,,,57.92454510000243,0.025240899998607347,0.025240899998607347,5,3.9499098000014783,57.971213000000716,None,57.971213000000716,None,57.971213000000716,None,57.971213000000716,57.971213000000716,57.971213000000716,None,005,P004,2025_Jan_18_1408,ConditionRich,2021.2.3,59.911881604869734,
4.0,7.75,34,0.75,Stimuli/P004/things_roll_02s.jpg,1,2,2.75,0,1,1,1,,,,,,,,,,,,,4.023578799999086,0.023578799999086186,4,2.435957599998801,61.97511790000135,61.97511790000135,61.97511790000135,61.97511790000135,61.97511790000135,61.97511790000135,63.95981960000063,64.7106612000025,61.97511790000135,61.97511790000135,005,P004,2025_Jan_18_1408,ConditionRich,2021.2.3,59.911881604869734,
7.75,8.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,2,2,2,,,,,,,,,,,,,7.773093199997675,0.023093199997674674,None,,65.71196760000021,65.71196760000021,65.71196760000021,65.71196760000021,65.71196760000021,65.71196760000021,65.71196760000021,65.71196760000021,65.71196760000021,65.71196760000021,005,P004,2025_Jan_18_1408,ConditionRich,2021.2.3,59.911881604869734,
8.0,11.75,39,0.75,Stimuli/P004/things_toad_02s.jpg,0,0,0.0,0,3,3,3,,,,,,,,,,,,,8.006462800000008,0.0064628000000084285,5,1.9761403000011342,65.94490040000164,65.94490040000164,65.94490040000164,65.94490040000164,65.94490040000164,65.94490040000164,65.94490040000164,65.94490040000164,65.94490040000164,65.94490040000164,005,P004,2025_Jan_18_1408,ConditionRich,2021.2.3,59.911881604869734,
11.75,12.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,4,4,4,,,,,,,,,,,,,11.76196820000041,0.011968200000410434,5,0.20614840000052936,69.71489220000149,69.71489220000149,69.71489220000149,69.71489220000149,69.71489220000149,69.71489220000149,69.71489220000149,69.71489220000149,69.71489220000149,69.71489220000149,005,P004,2025_Jan_18_1408,ConditionRich,2021.2.3,59.911881604869734,
12.0,15.75,38,0.75,Stimuli/P004/things_slug_02s.jpg,0,0,0.0,0,5,5,5,,,,,,,,,,,,,12.02665849999903,0.026658499999030028,5,1.9562394999993558,69.96510290000151,69.96510290000151,69.96510290000151,69.96510290000151,69.96510290000151,69.96510290000151,69.96510290000151,69.96510290000151,69.96510290000151,69.96510290000151,005,P004,2025_Jan_18_1408,ConditionRich,2021.2.3,59.911881604869734,
15.75,16.0,41,0.0,Stimuli/Blank.png,0,0,0.0,0,6,6,6,,,,,,,,,,,,,15.762513300000137,0.012513300000136951,None,,73.70173690000229,73.70173690000229,73.70173690000229,73.70173690000229,73.70173690000229,73.70173690000229,73.70173690000229,73.70173690000229,73.70173690000229,73.70173690000229,005,P004,2025_Jan_18_1408,ConditionRich,2021.2.3,59.911881604869734,
16.0,19.75,32,0.75,Stimuli/P004/things_pulley_02s.jpg,0,0,0.0,0,7,7,7,,,,,,,,,,,,,16.014295900000434,0.014295900000433903,5,1.9524829000001773,73.96862990000227,73.96862990000227,73.96862990000227,73.96862990000227,73.96862990000227,73.96862990000227,73.96862990000227,73.96862990000227,73.96862990000227,73.96862990000227,005,P004,2025_Jan_18_1408,ConditionRich,2021.2.3,59.911881604869734,
