eventStartTime,eventEndTime,eventCond,imSize,imFile,responseEvent,fixRespStart,fixRespEnd,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationResponse.started,fixationResponse.stopped,fixationInside.started,fixationInside.stopped,participantResponse.rt,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,10.996670399999857,None,1,4.620958199999677,10.996670399999857,None,,,,,,,,,,,,,,,,,,,,,002,P011,2025_Feb_08_1000,ConditionRich,2021.2.3,59.930839810719625,
,,,,,,,,,,,,,,,,,,15.619858300000033,5,14.544901199999913,15.633698000000095,None,,,,,,,,,,,,,,,,002,P011,2025_Feb_08_1000,ConditionRich,2021.2.3,59.930839810719625,
0.0,4.0,0,0.0,Stimuli/Blank.png,0,0.0,0.0,0,0,0,0,,,,,,,,,,,,30.183280900000227,0.03105379999988145,0.03105379999988145,None,30.22994410000001,None,30.22994410000001,None,30.22994410000001,None,30.22994410000001,30.22994410000001,30.22994410000001,None,,002,P011,2025_Feb_08_1000,ConditionRich,2021.2.3,59.930839810719625,
4.0,4.75,40,0.75,Stimuli/P011/things_woman_06s.jpg,0,0.0,0.0,0,1,1,1,,,,,,,,,,,,,4.0040869999997994,0.0040869999997994455,None,34.217153099999905,34.217153099999905,34.217153099999905,34.217153099999905,34.217153099999905,34.217153099999905,34.217153099999905,34.217153099999905,34.217153099999905,34.217153099999905,,002,P011,2025_Feb_08_1000,ConditionRich,2021.2.3,59.930839810719625,
4.75,8.0,41,0.0,Stimuli/Blank.png,0,0.0,0.0,0,2,2,2,,,,,,,,,,,,,4.771955400000024,0.021955400000024383,None,34.98440789999995,34.98440789999995,34.98440789999995,34.98440789999995,34.98440789999995,34.98440789999995,34.98440789999995,34.98440789999995,34.98440789999995,34.98440789999995,,002,P011,2025_Feb_08_1000,ConditionRich,2021.2.3,59.930839810719625,
8.0,8.75,33,0.75,Stimuli/P011/things_hot-air_balloon_06s.jpg,0,0.0,0.0,0,3,3,3,,,,,,,,,,,,,8.022441799999797,0.022441799999796785,None,38.220342600000095,38.220342600000095,38.220342600000095,38.220342600000095,38.220342600000095,38.220342600000095,38.220342600000095,38.220342600000095,38.220342600000095,38.220342600000095,,002,P011,2025_Feb_08_1000,ConditionRich,2021.2.3,59.930839810719625,
8.75,12.0,41,0.0,Stimuli/Blank.png,0,0.0,0.0,0,4,4,4,,,,,,,,,,,,,8.757640100000117,0.007640100000116945,None,38.95433140000023,38.95433140000023,38.95433140000023,38.95433140000023,38.95433140000023,38.95433140000023,38.95433140000023,38.95433140000023,38.95433140000023,38.95433140000023,,002,P011,2025_Feb_08_1000,ConditionRich,2021.2.3,59.930839810719625,
12.0,12.75,11,0.75,Stimuli/P011/sun_baylllqlgfvxilor.jpg,0,0.0,0.0,0,5,5,5,,,,,,,,,,,,,12.0092795999999,0.009279599999899801,None,42.22388159999991,42.22388159999991,42.22388159999991,42.22388159999991,42.22388159999991,42.22388159999991,42.22388159999991,42.22388159999991,42.22388159999991,42.22388159999991,,002,P011,2025_Feb_08_1000,ConditionRich,2021.2.3,59.930839810719625,
12.75,16.0,41,0.0,Stimuli/Blank.png,0,0.0,0.0,0,6,6,6,,,,,,,,,,,,,12.77781929999992,0.027819299999919167,None,42.974558700000216,42.974558700000216,42.974558700000216,42.974558700000216,42.974558700000216,42.974558700000216,42.974558700000216,42.974558700000216,42.974558700000216,42.974558700000216,,002,P011,2025_Feb_08_1000,ConditionRich,2021.2.3,59.930839810719625,
16.0,16.75,28,0.75,Stimuli/P011/things_grasshopper_06s.jpg,0,0.0,0.0,0,7,7,7,,,,,,,,,,,,,16.013511499999822,0.013511499999822263,None,46.2107431999998,46.2107431999998,46.2107431999998,46.2107431999998,46.2107431999998,46.2107431999998,46.2107431999998,46.2107431999998,46.2107431999998,46.2107431999998,,002,P011,2025_Feb_08_1000,ConditionRich,2021.2.3,59.930839810719625,
