eventStartTime,eventEndTime,eventCond,imSize,imFile,repeatedImage,responseEvent,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationInside.started,fixationInside.stopped,participantResponse.rt,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,11.104959799999051,None,1,0.6475693000029423,11.104959799999051,None,,,,,,,,,,,,,,,,,,,003,P016,2025_Mar_07_1455,CategoryLocalizer,2021.2.3,59.971057967401194,
,,,,,,,,,,,,,,,,,11.755732599998737,5,20.017836999999417,11.767878499998915,None,,,,,,,,,,,,,,003,P016,2025_Mar_07_1455,CategoryLocalizer,2021.2.3,59.971057967401194,
0.0,12.0,0,0.0,Stimuli\Blank.png,0,0,0,0,0,0,,,,,,,,,,,,31.789100300000428,0.034909000001789536,0.034909000001789536,None,31.835709300001326,None,31.835709300001326,None,31.835709300001326,None,31.835709300001326,None,,003,P016,2025_Mar_07_1455,CategoryLocalizer,2021.2.3,59.971057967401194,
12.0,12.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Pipe_00001.png,0,0,0,1,1,1,,,,,,,,,,,,,12.0116139999991,0.011613999999099178,None,43.81296300000031,43.81296300000031,43.81296300000031,43.81296300000031,43.81296300000031,43.81296300000031,43.81296300000031,43.81296300000031,,003,P016,2025_Mar_07_1455,CategoryLocalizer,2021.2.3,59.971057967401194,
12.8,13.0,5,0.0,Stimuli\Blank.png,0,0,0,2,2,2,,,,,,,,,,,,,12.809935100001894,0.00993510000189346,None,44.61368090000178,44.61368090000178,44.61368090000178,44.61368090000178,44.61368090000178,44.61368090000178,44.61368090000178,44.61368090000178,,003,P016,2025_Mar_07_1455,CategoryLocalizer,2021.2.3,59.971057967401194,
13.0,13.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Dice_00001.png,0,0,0,3,3,3,,,,,,,,,,,,,13.011058800002502,0.011058800002501812,None,44.81384629999957,44.81384629999957,44.81384629999957,44.81384629999957,44.81384629999957,44.81384629999957,44.81384629999957,44.81384629999957,,003,P016,2025_Mar_07_1455,CategoryLocalizer,2021.2.3,59.971057967401194,
13.8,14.0,5,0.0,Stimuli\Blank.png,0,0,0,4,4,4,,,,,,,,,,,,,13.811680400001933,0.011680400001932156,None,45.61456850000104,45.61456850000104,45.61456850000104,45.61456850000104,45.61456850000104,45.61456850000104,45.61456850000104,45.61456850000104,,003,P016,2025_Mar_07_1455,CategoryLocalizer,2021.2.3,59.971057967401194,
14.0,14.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Bench_00001.png,0,0,0,5,5,5,,,,,,,,,,,,,14.011198300002434,0.011198300002433825,None,45.814731099999335,45.814731099999335,45.814731099999335,45.814731099999335,45.814731099999335,45.814731099999335,45.814731099999335,45.814731099999335,,003,P016,2025_Mar_07_1455,CategoryLocalizer,2021.2.3,59.971057967401194,
14.8,15.0,5,0.0,Stimuli\Blank.png,0,0,0,6,6,6,,,,,,,,,,,,,14.813469600001554,0.013469600001553061,None,46.6321414999984,46.6321414999984,46.6321414999984,46.6321414999984,46.6321414999984,46.6321414999984,46.6321414999984,46.6321414999984,,003,P016,2025_Mar_07_1455,CategoryLocalizer,2021.2.3,59.971057967401194,
15.0,15.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Gun_00001.png,0,0,0,7,7,7,,,,,,,,,,,,,15.028453999999329,0.028453999999328516,None,46.83229189999838,46.83229189999838,46.83229189999838,46.83229189999838,46.83229189999838,46.83229189999838,46.83229189999838,46.83229189999838,,003,P016,2025_Mar_07_1455,CategoryLocalizer,2021.2.3,59.971057967401194,
