eventStartTime,eventEndTime,eventCond,imSize,imFile,repeatedImage,responseEvent,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationInside.started,fixationInside.stopped,participantResponse.rt,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,11.875571799999307,None,1,7.968722499997966,11.875571799999307,None,,,,,,,,,,,,,,,,,,,003,P013,2025_Feb_08_1603,CategoryLocalizer,2021.2.3,59.91898952707238,
,,,,,,,,,,,,,,,,,19.858595499998046,5,14.665516400000342,19.871883399999206,None,,,,,,,,,,,,,,003,P013,2025_Feb_08_1603,CategoryLocalizer,2021.2.3,59.91898952707238,
0.0,12.0,0,0.0,Stimuli\Blank.png,0,0,0,0,0,0,,,,,,,,,,,,34.55558759999985,0.060688999998092186,0.060688999998092186,None,34.63494729999729,None,34.63494729999729,None,34.63494729999729,None,34.63494729999729,None,,003,P013,2025_Feb_08_1603,CategoryLocalizer,2021.2.3,59.91898952707238,
12.0,12.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Baseball_00001.png,0,0,0,1,1,1,,,,,,,,,,,,,12.01007099999697,0.010070999996969476,None,46.57885519999763,46.57885519999763,46.57885519999763,46.57885519999763,46.57885519999763,46.57885519999763,46.57885519999763,46.57885519999763,,003,P013,2025_Feb_08_1603,CategoryLocalizer,2021.2.3,59.91898952707238,
12.8,13.0,5,0.0,Stimuli\Blank.png,0,0,0,2,2,2,,,,,,,,,,,,,12.81102639999881,0.0110263999988085,None,47.396244199997454,47.396244199997454,47.396244199997454,47.396244199997454,47.396244199997454,47.396244199997454,47.396244199997454,47.396244199997454,,003,P013,2025_Feb_08_1603,CategoryLocalizer,2021.2.3,59.91898952707238,
13.0,13.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Card_00001.png,0,0,0,3,3,3,,,,,,,,,,,,,13.027282499999274,0.02728249999927357,None,47.61309429999892,47.61309429999892,47.61309429999892,47.61309429999892,47.61309429999892,47.61309429999892,47.61309429999892,47.61309429999892,,003,P013,2025_Feb_08_1603,CategoryLocalizer,2021.2.3,59.91898952707238,
13.8,14.0,5,0.0,Stimuli\Blank.png,0,0,0,4,4,4,,,,,,,,,,,,,13.827736199997162,0.027736199997161037,None,48.39711339999849,48.39711339999849,48.39711339999849,48.39711339999849,48.39711339999849,48.39711339999849,48.39711339999849,48.39711339999849,,003,P013,2025_Feb_08_1603,CategoryLocalizer,2021.2.3,59.91898952707238,
14.0,14.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Door_00001.png,0,0,0,5,5,5,,,,,,,,,,,,,14.010336199997255,0.01033619999725488,None,48.58064099999683,48.58064099999683,48.58064099999683,48.58064099999683,48.58064099999683,48.58064099999683,48.58064099999683,48.58064099999683,,003,P013,2025_Feb_08_1603,CategoryLocalizer,2021.2.3,59.91898952707238,
14.8,15.0,5,0.0,Stimuli\Blank.png,0,0,0,6,6,6,,,,,,,,,,,,,14.811183199999505,0.011183199999504012,None,49.38133039999957,49.38133039999957,49.38133039999957,49.38133039999957,49.38133039999957,49.38133039999957,49.38133039999957,49.38133039999957,,003,P013,2025_Feb_08_1603,CategoryLocalizer,2021.2.3,59.91898952707238,
15.0,15.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Box_00001.png,0,0,0,7,7,7,,,,,,,,,,,,,15.011206899998797,0.011206899998796871,None,49.581504799996765,49.581504799996765,49.581504799996765,49.581504799996765,49.581504799996765,49.581504799996765,49.581504799996765,49.581504799996765,,003,P013,2025_Feb_08_1603,CategoryLocalizer,2021.2.3,59.91898952707238,
