eventStartTime,eventEndTime,eventCond,imSize,imFile,repeatedImage,responseEvent,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationInside.started,fixationInside.stopped,session,participant,date,expName,psychopyVersion,frameRate,
18.8,19.0,5,0.0,Stimuli\Blank.png,0,0,0,14,14,14,,,,,,,,,,,,,18.815319299999828,0.015319299999827507,None,42.43871790000048,42.43871790000048,42.43871790000048,42.43871790000048,42.43871790000048,42.43871790000048,42.43871790000048,42.43871790000048,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
19.0,19.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Knife_00001.png,0,0,0,15,15,15,,,,,,,,,,,,,19.015400899999804,0.015400899999804096,None,42.65558280000005,42.65558280000005,42.65558280000005,42.65558280000005,42.65558280000005,42.65558280000005,42.65558280000005,42.65558280000005,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
19.8,20.0,5,0.0,Stimuli\Blank.png,0,0,0,16,16,16,,,,,,,,,,,,,19.818247100000008,0.018247100000007066,None,43.4562889000008,43.4562889000008,43.4562889000008,43.4562889000008,43.4562889000008,43.4562889000008,43.4562889000008,43.4562889000008,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
20.0,20.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Crib_00001.png,0,0,0,17,17,17,,,,,,,,,,,,,20.018605900000694,0.01860590000069351,None,43.67314120000083,43.67314120000083,43.67314120000083,43.67314120000083,43.67314120000083,43.67314120000083,43.67314120000083,43.67314120000083,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
20.8,21.0,5,0.0,Stimuli\Blank.png,0,0,0,18,18,18,,,,,,,,,,,,,20.83365109999977,0.03365109999976923,None,44.45717239999976,44.45717239999976,44.45717239999976,44.45717239999976,44.45717239999976,44.45717239999976,44.45717239999976,44.45717239999976,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
21.0,21.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Scale_00001.png,0,0,0,19,19,19,,,,,,,,,,,,,21.001140399999713,0.0011403999997128267,None,44.64067700000123,44.64067700000123,44.64067700000123,44.64067700000123,44.64067700000123,44.64067700000123,44.64067700000123,44.64067700000123,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
21.8,22.0,5,0.0,Stimuli\Blank.png,0,0,0,20,20,20,,,,,,,,,,,,,21.8185713999992,0.018571399999199656,None,45.441392700000506,45.441392700000506,45.441392700000506,45.441392700000506,45.441392700000506,45.441392700000506,45.441392700000506,45.441392700000506,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
22.0,22.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Whistle_00001.png,0,0,0,21,21,21,,,,,,,,,,,,,22.001796399999876,0.0017963999998755753,None,45.64159880000079,45.64159880000079,45.64159880000079,45.64159880000079,45.64159880000079,45.64159880000079,45.64159880000079,45.64159880000079,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
22.8,23.0,5,0.0,Stimuli\Blank.png,0,0,0,22,22,22,,,,,,,,,,,,,22.819348799999716,0.019348799999715283,None,46.44225540000116,46.44225540000116,46.44225540000116,46.44225540000116,46.44225540000116,46.44225540000116,46.44225540000116,46.44225540000116,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
23.0,23.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Recliner_00001.png,0,0,0,23,23,23,,,,,,,,,,,,,23.004373300000225,0.0043733000002248446,None,46.65916079999988,46.65916079999988,46.65916079999988,46.65916079999988,46.65916079999988,46.65916079999988,46.65916079999988,46.65916079999988,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
