eventStartTime,eventEndTime,eventCond,imSize,imFile,repeatedImage,responseEvent,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationInside.started,fixationInside.stopped,participantResponse.rt,session,participant,date,expName,psychopyVersion,frameRate,
18.8,19.0,5,0.0,Stimuli\Blank.png,0,0,0,14,14,14,,,,,,,,,,,,,18.817718199999945,0.017718199999944062,None,55.03303799999958,55.03303799999958,55.03303799999958,55.03303799999958,55.03303799999958,55.03303799999958,55.03303799999958,55.03303799999958,,002,P007,2025_Feb_01_1018,CategoryLocalizer,2021.2.3,59.944491400707825,
19.0,19.8,1,0.75,Stimuli\ImageFiles-Set2\Objects\Object_Microphone_00001.png,0,0,0,15,15,15,,,,,,,,,,,,,19.016114899999593,0.016114899999593035,None,55.23318569999992,55.23318569999992,55.23318569999992,55.23318569999992,55.23318569999992,55.23318569999992,55.23318569999992,55.23318569999992,,002,P007,2025_Feb_01_1018,CategoryLocalizer,2021.2.3,59.944491400707825,
19.8,20.0,5,0.0,Stimuli\Blank.png,0,0,0,16,16,16,,,,,,,,,,,,,19.816802899999857,0.01680289999985618,None,56.01720889999979,56.01720889999979,56.01720889999979,56.01720889999979,56.01720889999979,56.01720889999979,56.01720889999979,56.01720889999979,,002,P007,2025_Feb_01_1018,CategoryLocalizer,2021.2.3,59.944491400707825,
20.0,20.8,1,0.75,Stimuli\ImageFiles-Set2\Objects\Object_Walker_00001.png,0,0,0,17,17,17,,,,,,,,,,,,,20.00169239999923,0.0016923999992286554,None,56.234040399999685,56.234040399999685,56.234040399999685,56.234040399999685,56.234040399999685,56.234040399999685,56.234040399999685,56.234040399999685,,002,P007,2025_Feb_01_1018,CategoryLocalizer,2021.2.3,59.944491400707825,
20.8,21.0,5,0.0,Stimuli\Blank.png,0,0,0,18,18,18,,,,,,,,,,,,,20.83432289999928,0.03432289999927818,None,57.03477579999981,57.03477579999981,57.03477579999981,57.03477579999981,57.03477579999981,57.03477579999981,57.03477579999981,57.03477579999981,,002,P007,2025_Feb_01_1018,CategoryLocalizer,2021.2.3,59.944491400707825,
21.0,21.8,1,0.75,Stimuli\ImageFiles-Set2\Objects\Object_Tape_00001.png,0,0,0,19,19,19,,,,,,,,,,,,,21.001496599999882,0.0014965999998821644,None,57.21829660000003,57.21829660000003,57.21829660000003,57.21829660000003,57.21829660000003,57.21829660000003,57.21829660000003,57.21829660000003,,002,P007,2025_Feb_01_1018,CategoryLocalizer,2021.2.3,59.944491400707825,
21.8,22.0,5,0.0,Stimuli\Blank.png,0,0,0,20,20,20,,,,,,,,,,,,,21.81888589999926,0.01888589999925827,None,58.01898600000004,58.01898600000004,58.01898600000004,58.01898600000004,58.01898600000004,58.01898600000004,58.01898600000004,58.01898600000004,,002,P007,2025_Feb_01_1018,CategoryLocalizer,2021.2.3,59.944491400707825,
22.0,22.8,1,0.75,Stimuli\ImageFiles-Set2\Objects\Object_Mug_00001.png,0,0,0,21,21,21,,,,,,,,,,,,,22.00201500000003,0.0020150000000285218,None,58.23586869999963,58.23586869999963,58.23586869999963,58.23586869999963,58.23586869999963,58.23586869999963,58.23586869999963,58.23586869999963,,002,P007,2025_Feb_01_1018,CategoryLocalizer,2021.2.3,59.944491400707825,
22.8,23.0,5,0.0,Stimuli\Blank.png,0,0,0,22,22,22,,,,,,,,,,,,,22.836127999999917,0.03612799999991623,None,59.0365654999996,59.0365654999996,59.0365654999996,59.0365654999996,59.0365654999996,59.0365654999996,59.0365654999996,59.0365654999996,,002,P007,2025_Feb_01_1018,CategoryLocalizer,2021.2.3,59.944491400707825,
23.0,23.8,1,0.75,Stimuli\ImageFiles-Set2\Objects\Object_Dresser_00001.png,0,0,0,23,23,23,,,,,,,,,,,,,23.002485899999556,0.0024858999995558406,None,59.22006309999961,59.22006309999961,59.22006309999961,59.22006309999961,59.22006309999961,59.22006309999961,59.22006309999961,59.22006309999961,,002,P007,2025_Feb_01_1018,CategoryLocalizer,2021.2.3,59.944491400707825,
