eventStartTime,eventEndTime,eventCond,imSize,imFile,repeatedImage,responseEvent,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.rt,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationInside.started,fixationInside.stopped,session,participant,date,expName,psychopyVersion,frameRate,
18.8,19.0,5,0.0,Stimuli\Blank.png,0,0,0,14,14,14,,,,,,,,,,,,,18.848236900000302,0.04823690000030112,None,,50.92577739999979,50.92577739999979,50.92577739999979,50.92577739999979,50.92577739999979,50.92577739999979,50.92577739999979,50.92577739999979,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
19.0,19.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Book_00001.png,0,0,0,15,15,15,,,,,,,,,,,,,19.015278700000636,0.015278700000635581,None,,51.10928580000018,51.10928580000018,51.10928580000018,51.10928580000018,51.10928580000018,51.10928580000018,51.10928580000018,51.10928580000018,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
19.8,20.0,5,0.0,Stimuli\Blank.png,0,0,0,16,16,16,,,,,,,,,,,,,19.816039700000147,0.016039700000145984,None,,51.89330460000019,51.89330460000019,51.89330460000019,51.89330460000019,51.89330460000019,51.89330460000019,51.89330460000019,51.89330460000019,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
20.0,20.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Peanut_00001.png,0,0,0,17,17,17,,,,,,,,,,,,,20.000098100000287,9.810000028664945e-05,None,,52.09347530000014,52.09347530000014,52.09347530000014,52.09347530000014,52.09347530000014,52.09347530000014,52.09347530000014,52.09347530000014,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
20.8,21.0,5,0.0,Stimuli\Blank.png,0,0,0,18,18,18,,,,,,,,,,,,,20.816922599999998,0.016922599999997345,None,,52.8941834999996,52.8941834999996,52.8941834999996,52.8941834999996,52.8941834999996,52.8941834999996,52.8941834999996,52.8941834999996,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
21.0,21.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Watch_00001.png,0,0,0,19,19,19,,,,,,,,,,,,,21.000433000000157,0.0004330000001573353,None,,53.11109909999959,53.11109909999959,53.11109909999959,53.11109909999959,53.11109909999959,53.11109909999959,53.11109909999959,53.11109909999959,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
21.8,22.0,5,0.0,Stimuli\Blank.png,0,0,0,20,20,20,,,,,,,,,,,,,21.83439610000005,0.034396100000048335,None,,53.911750199999915,53.911750199999915,53.911750199999915,53.911750199999915,53.911750199999915,53.911750199999915,53.911750199999915,53.911750199999915,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
22.0,22.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Airplane_00001.png,0,0,0,21,21,21,,,,,,,,,,,,,22.000729400000637,0.0007294000006368151,None,,54.09526310000001,54.09526310000001,54.09526310000001,54.09526310000001,54.09526310000001,54.09526310000001,54.09526310000001,54.09526310000001,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
22.8,23.0,5,0.0,Stimuli\Blank.png,0,0,0,22,22,22,,,,,,,,,,,,,22.8189026,0.018902600000000547,None,,54.89595759999975,54.89595759999975,54.89595759999975,54.89595759999975,54.89595759999975,54.89595759999975,54.89595759999975,54.89595759999975,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
23.0,23.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_TeaBag_00001.png,0,0,0,23,23,23,,,,,,,,,,,,,23.001973600000383,0.0019736000003831577,None,,55.096126899999945,55.096126899999945,55.096126899999945,55.096126899999945,55.096126899999945,55.096126899999945,55.096126899999945,55.096126899999945,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
