eventStartTime,eventEndTime,eventCond,imSize,imFile,repeatedImage,responseEvent,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.rt,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationInside.started,fixationInside.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,22.61641410000084,None,4,4.29103049999685,22.61641410000084,None,,,,,,,,,,,,,,,,,,,001,P004,2025_Jan_18_1354,CategoryLocalizer,2021.2.3,59.92477044239689,
,,,,,,,,,,,,,,,,,26.91676180000286,5,13.04122759999882,26.930045000000973,None,,,,,,,,,,,,,,001,P004,2025_Jan_18_1354,CategoryLocalizer,2021.2.3,59.92477044239689,
0.0,12.0,0,0.0,Stimuli\Blank.png,0,0,0,0,0,0,,,,,,,,,,,,39.978091900000436,0.0529218999981822,0.0529218999981822,5,9.929893300002732,40.041576100000384,None,40.041576100000384,None,40.041576100000384,None,40.041576100000384,None,001,P004,2025_Jan_18_1354,CategoryLocalizer,2021.2.3,59.92477044239689,
12.0,12.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Football_00001.png,0,0,0,1,1,1,,,,,,,,,,,,,12.011699799997587,0.011699799997586524,None,,52.01878840000063,52.01878840000063,52.01878840000063,52.01878840000063,52.01878840000063,52.01878840000063,52.01878840000063,52.01878840000063,001,P004,2025_Jan_18_1354,CategoryLocalizer,2021.2.3,59.92477044239689,
12.8,13.0,5,0.0,Stimuli\Blank.png,0,0,0,2,2,2,,,,,,,,,,,,,12.827415600000677,0.02741560000067622,None,,52.81951459999982,52.81951459999982,52.81951459999982,52.81951459999982,52.81951459999982,52.81951459999982,52.81951459999982,52.81951459999982,001,P004,2025_Jan_18_1354,CategoryLocalizer,2021.2.3,59.92477044239689,
13.0,13.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Knife_00001.png,0,0,0,3,3,3,,,,,,,,,,,,,13.01043799999752,0.01043799999752082,None,,53.01969680000184,53.01969680000184,53.01969680000184,53.01969680000184,53.01969680000184,53.01969680000184,53.01969680000184,53.01969680000184,001,P004,2025_Jan_18_1354,CategoryLocalizer,2021.2.3,59.92477044239689,
13.8,14.0,5,0.0,Stimuli\Blank.png,0,0,0,4,4,4,,,,,,,,,,,,,13.828132899998309,0.028132899998308147,5,0.1508352000018931,53.820370400000684,53.820370400000684,53.820370400000684,53.820370400000684,53.820370400000684,53.820370400000684,53.820370400000684,53.820370400000684,001,P004,2025_Jan_18_1354,CategoryLocalizer,2021.2.3,59.92477044239689,
14.0,14.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Toilet_00001.png,0,0,0,5,5,5,,,,,,,,,,,,,14.011607799999183,0.011607799999183044,None,,54.020555400002195,54.020555400002195,54.020555400002195,54.020555400002195,54.020555400002195,54.020555400002195,54.020555400002195,54.020555400002195,001,P004,2025_Jan_18_1354,CategoryLocalizer,2021.2.3,59.92477044239689,
14.8,15.0,5,0.0,Stimuli\Blank.png,0,0,0,6,6,6,,,,,,,,,,,,,14.828720900000917,0.028720900000916316,None,,54.82125790000282,54.82125790000282,54.82125790000282,54.82125790000282,54.82125790000282,54.82125790000282,54.82125790000282,54.82125790000282,001,P004,2025_Jan_18_1354,CategoryLocalizer,2021.2.3,59.92477044239689,
15.0,15.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Pizza_00001.png,0,0,0,7,7,7,,,,,,,,,,,,,15.014194499999576,0.014194499999575783,None,,55.021431799999846,55.021431799999846,55.021431799999846,55.021431799999846,55.021431799999846,55.021431799999846,55.021431799999846,55.021431799999846,001,P004,2025_Jan_18_1354,CategoryLocalizer,2021.2.3,59.92477044239689,
15.8,16.0,5,0.0,Stimuli\Blank.png,0,0,0,8,8,8,,,,,,,,,,,,,15.829941500000132,0.02994150000013107,5,0.14897130000099423,55.822140399999626,55.822140399999626,55.822140399999626,55.822140399999626,55.822140399999626,55.822140399999626,55.822140399999626,55.822140399999626,001,P004,2025_Jan_18_1354,CategoryLocalizer,2021.2.3,59.92477044239689,
16.0,16.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Pizza_00001.png,1,1,0,9,9,9,,,,,,,,,,,,,16.01483200000075,0.014832000000751577,4,0.5838289999992412,56.02231320000283,56.02231320000283,56.02231320000283,56.02231320000283,56.02231320000283,56.02231320000283,56.02231320000283,56.02231320000283,001,P004,2025_Jan_18_1354,CategoryLocalizer,2021.2.3,59.92477044239689,
16.8,17.0,5,0.0,Stimuli\Blank.png,0,0,0,10,10,10,,,,,,,,,,,,,16.83072909999828,0.030729099998278997,None,,56.82301229999939,56.82301229999939,56.82301229999939,56.82301229999939,56.82301229999939,56.82301229999939,56.82301229999939,56.82301229999939,001,P004,2025_Jan_18_1354,CategoryLocalizer,2021.2.3,59.92477044239689,
17.0,17.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_GarbageCan_00001.png,0,0,0,11,11,11,,,,,,,,,,,,,17.01400029999786,0.014000299997860566,None,,57.00650790000145,57.00650790000145,57.00650790000145,57.00650790000145,57.00650790000145,57.00650790000145,57.00650790000145,57.00650790000145,001,P004,2025_Jan_18_1354,CategoryLocalizer,2021.2.3,59.92477044239689,
17.8,18.0,5,0.0,Stimuli\Blank.png,0,0,0,12,12,12,,,,,,,,,,,,,17.81546460000027,0.015464600000267836,5,0.1650225000012142,57.80721640000047,57.80721640000047,57.80721640000047,57.80721640000047,57.80721640000047,57.80721640000047,57.80721640000047,57.80721640000047,001,P004,2025_Jan_18_1354,CategoryLocalizer,2021.2.3,59.92477044239689,
18.0,18.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Bottle_00001.png,0,0,0,13,13,13,,,,,,,,,,,,,18.01611259999845,0.016112599998450605,None,,58.00739530000283,58.00739530000283,58.00739530000283,58.00739530000283,58.00739530000283,58.00739530000283,58.00739530000283,58.00739530000283,001,P004,2025_Jan_18_1354,CategoryLocalizer,2021.2.3,59.92477044239689,
18.8,19.0,5,0.0,Stimuli\Blank.png,0,0,0,14,14,14,,,,,,,,,,,,,18.79992839999977,-7.160000022921054e-05,None,,58.791423000002396,58.791423000002396,58.791423000002396,58.791423000002396,58.791423000002396,58.791423000002396,58.791423000002396,58.791423000002396,001,P004,2025_Jan_18_1354,CategoryLocalizer,2021.2.3,59.92477044239689,
19.0,19.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Banana_00001.png,0,0,0,15,15,15,,,,,,,,,,,,,18.998943899998267,-0.0010561000017332844,None,,58.99159510000027,58.99159510000027,58.99159510000027,58.99159510000027,58.99159510000027,58.99159510000027,58.99159510000027,58.99159510000027,001,P004,2025_Jan_18_1354,CategoryLocalizer,2021.2.3,59.92477044239689,
19.8,20.0,5,0.0,Stimuli\Blank.png,0,0,0,16,16,16,,,,,,,,,,,,,19.80015110000022,0.00015110000022033887,None,,59.79230169999937,59.79230169999937,59.79230169999937,59.79230169999937,59.79230169999937,59.79230169999937,59.79230169999937,59.79230169999937,001,P004,2025_Jan_18_1354,CategoryLocalizer,2021.2.3,59.92477044239689,
20.0,20.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_IroningBoard_00001.png,0,0,0,17,17,17,,,,,,,,,,,,,20.000155099998665,0.0001550999986648094,None,,59.99251709999953,59.99251709999953,59.99251709999953,59.99251709999953,59.99251709999953,59.99251709999953,59.99251709999953,59.99251709999953,001,P004,2025_Jan_18_1354,CategoryLocalizer,2021.2.3,59.92477044239689,
20.8,21.0,5,0.0,Stimuli\Blank.png,0,0,0,18,18,18,,,,,,,,,,,,,20.800991899999644,0.000991899999643664,None,,60.79316169999947,60.79316169999947,60.79316169999947,60.79316169999947,60.79316169999947,60.79316169999947,60.79316169999947,60.79316169999947,001,P004,2025_Jan_18_1354,CategoryLocalizer,2021.2.3,59.92477044239689,
21.0,21.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Airplane_00001.png,0,0,0,19,19,19,,,,,,,,,,,,,21.00059709999914,0.0005970999991404824,None,,60.99335509999946,60.99335509999946,60.99335509999946,60.99335509999946,60.99335509999946,60.99335509999946,60.99335509999946,60.99335509999946,001,P004,2025_Jan_18_1354,CategoryLocalizer,2021.2.3,59.92477044239689,
21.8,22.0,5,0.0,Stimuli\Blank.png,0,0,0,20,20,20,,,,,,,,,,,,,21.802044500000193,0.0020445000001920732,None,,61.79405890000271,61.79405890000271,61.79405890000271,61.79405890000271,61.79405890000271,61.79405890000271,61.79405890000271,61.79405890000271,001,P004,2025_Jan_18_1354,CategoryLocalizer,2021.2.3,59.92477044239689,
22.0,22.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Book_00001.png,0,0,0,21,21,21,,,,,,,,,,,,,22.002164800000173,0.0021648000001732726,None,,62.01092500000232,62.01092500000232,62.01092500000232,62.01092500000232,62.01092500000232,62.01092500000232,62.01092500000232,62.01092500000232,001,P004,2025_Jan_18_1354,CategoryLocalizer,2021.2.3,59.92477044239689,
