eventStartTime,eventEndTime,eventCond,imSize,imFile,repeatedImage,responseEvent,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.rt,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationInside.started,fixationInside.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,10.213507199994638,None,3,1.5025955999954022,10.213507199994638,None,,,,,,,,,,,,,,,,,,,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
,,,,,,,,,,,,,,,,,11.734860099997604,5,19.47781489999761,11.747564499994041,None,,,,,,,,,,,,,,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
0.0,12.0,0,0.0,Stimuli\Blank.png,0,0,0,0,0,0,,,,,,,,,,,,31.23532569999952,0.031693700002506375,0.031693700002506375,5,11.943592399999034,31.28154569999606,None,31.28154569999606,None,31.28154569999606,None,31.28154569999606,None,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
12.0,12.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Box_00001.png,0,0,0,1,1,1,,,,,,,,,,,,,12.011808600000222,0.011808600000222214,None,,43.27547449999838,43.27547449999838,43.27547449999838,43.27547449999838,43.27547449999838,43.27547449999838,43.27547449999838,43.27547449999838,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
12.8,13.0,5,0.0,Stimuli\Blank.png,0,0,0,2,2,2,,,,,,,,,,,,,12.826363900006982,0.026363900006980856,None,,44.07619399999385,44.07619399999385,44.07619399999385,44.07619399999385,44.07619399999385,44.07619399999385,44.07619399999385,44.07619399999385,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
13.0,13.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Canoe_00001.png,0,0,0,3,3,3,,,,,,,,,,,,,13.010791700005939,0.010791700005938765,None,,44.25969249999616,44.25969249999616,44.25969249999616,44.25969249999616,44.25969249999616,44.25969249999616,44.25969249999616,44.25969249999616,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
13.8,14.0,5,0.0,Stimuli\Blank.png,0,0,0,4,4,4,,,,,,,,,,,,,13.811278900000616,0.011278900000615266,5,0.16470029999618419,45.060390599996026,45.060390599996026,45.060390599996026,45.060390599996026,45.060390599996026,45.060390599996026,45.060390599996026,45.060390599996026,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
14.0,14.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Walnut_00001.png,0,0,0,5,5,5,,,,,,,,,,,,,14.011138600006234,0.0111386000062339,None,,45.277260099996056,45.277260099996056,45.277260099996056,45.277260099996056,45.277260099996056,45.277260099996056,45.277260099996056,45.277260099996056,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
14.8,15.0,5,0.0,Stimuli\Blank.png,0,0,0,6,6,6,,,,,,,,,,,,,14.829991000005975,0.029991000005974655,None,,46.09465729999647,46.09465729999647,46.09465729999647,46.09465729999647,46.09465729999647,46.09465729999647,46.09465729999647,46.09465729999647,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
15.0,15.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Pencil_00001.png,0,0,0,7,7,7,,,,,,,,,,,,,15.0289322000026,0.02893220000260044,None,,46.278141699993284,46.278141699993284,46.278141699993284,46.278141699993284,46.278141699993284,46.278141699993284,46.278141699993284,46.278141699993284,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
15.8,16.0,5,0.0,Stimuli\Blank.png,0,0,0,8,8,8,,,,,,,,,,,,,15.812243700005638,0.012243700005637237,5,0.1629246000011335,47.062164699993446,47.062164699993446,47.062164699993446,47.062164699993446,47.062164699993446,47.062164699993446,47.062164699993446,47.062164699993446,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
16.0,16.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Toilet_00001.png,0,0,0,9,9,9,,,,,,,,,,,,,16.013112000000547,0.013112000000546686,None,,47.2623381999947,47.2623381999947,47.2623381999947,47.2623381999947,47.2623381999947,47.2623381999947,47.2623381999947,47.2623381999947,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
16.8,17.0,5,0.0,Stimuli\Blank.png,0,0,0,10,10,10,,,,,,,,,,,,,16.814934200003336,0.014934200003335008,None,,48.07974749999994,48.07974749999994,48.07974749999994,48.07974749999994,48.07974749999994,48.07974749999994,48.07974749999994,48.07974749999994,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
17.0,17.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Table_00001.png,0,0,0,11,11,11,,,,,,,,,,,,,17.030454500003543,0.030454500003543217,None,,48.27990569999383,48.27990569999383,48.27990569999383,48.27990569999383,48.27990569999383,48.27990569999383,48.27990569999383,48.27990569999383,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
17.8,18.0,5,0.0,Stimuli\Blank.png,0,0,0,12,12,12,,,,,,,,,,,,,17.814867900000536,0.014867900000535172,5,0.16144619999977294,49.063927299997886,49.063927299997886,49.063927299997886,49.063927299997886,49.063927299997886,49.063927299997886,49.063927299997886,49.063927299997886,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
18.0,18.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_GarbageCan_00001.png,0,0,0,13,13,13,,,,,,,,,,,,,18.014310000005935,0.014310000005934853,None,,49.264104099995166,49.264104099995166,49.264104099995166,49.264104099995166,49.264104099995166,49.264104099995166,49.264104099995166,49.264104099995166,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
18.8,19.0,5,0.0,Stimuli\Blank.png,0,0,0,14,14,14,,,,,,,,,,,,,18.815198000003875,0.015198000003874057,None,,50.06481319999875,50.06481319999875,50.06481319999875,50.06481319999875,50.06481319999875,50.06481319999875,50.06481319999875,50.06481319999875,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
19.0,19.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Key_00001.png,0,0,0,15,15,15,,,,,,,,,,,,,19.01633910000237,0.016339100002369378,None,,50.26500259999739,50.26500259999739,50.26500259999739,50.26500259999739,50.26500259999739,50.26500259999739,50.26500259999739,50.26500259999739,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
19.8,20.0,5,0.0,Stimuli\Blank.png,0,0,0,16,16,16,,,,,,,,,,,,,19.79970200000389,-0.00029799999611057615,None,,51.04902479999873,51.04902479999873,51.04902479999873,51.04902479999873,51.04902479999873,51.04902479999873,51.04902479999873,51.04902479999873,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
20.0,20.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Stool_00001.png,0,0,0,17,17,17,,,,,,,,,,,,,19.999921500006167,-7.849999383324757e-05,None,,51.24919409999711,51.24919409999711,51.24919409999711,51.24919409999711,51.24919409999711,51.24919409999711,51.24919409999711,51.24919409999711,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
20.8,21.0,5,0.0,Stimuli\Blank.png,0,0,0,18,18,18,,,,,,,,,,,,,20.800090000004275,9.000000427406007e-05,None,,52.049901899998076,52.049901899998076,52.049901899998076,52.049901899998076,52.049901899998076,52.049901899998076,52.049901899998076,52.049901899998076,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
21.0,21.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Stool_00001.png,1,1,0,19,19,19,,,,,,,,,,,,,21.000949500004936,0.000949500004935544,3,0.43610310000076424,52.25007999999798,52.25007999999798,52.25007999999798,52.25007999999798,52.25007999999798,52.25007999999798,52.25007999999798,52.25007999999798,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
21.8,22.0,5,0.0,Stimuli\Blank.png,0,0,0,20,20,20,,,,,,,,,,,,,21.80152170000656,0.001521700006559712,None,,53.05078749999666,53.05078749999666,53.05078749999666,53.05078749999666,53.05078749999666,53.05078749999666,53.05078749999666,53.05078749999666,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
22.0,22.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Stroller_00001.png,0,0,0,21,21,21,,,,,,,,,,,,,22.001570000000356,0.0015700000003562309,None,,53.26764799999364,53.26764799999364,53.26764799999364,53.26764799999364,53.26764799999364,53.26764799999364,53.26764799999364,53.26764799999364,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
22.8,23.0,5,0.0,Stimuli\Blank.png,0,0,0,22,22,22,,,,,,,,,,,,,22.820405700003903,0.020405700003902183,None,,54.08506049999414,54.08506049999414,54.08506049999414,54.08506049999414,54.08506049999414,54.08506049999414,54.08506049999414,54.08506049999414,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
23.0,23.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Pot_00001.png,0,0,0,23,23,23,,,,,,,,,,,,,23.020356400003948,0.020356400003947783,None,,54.2852350999965,54.2852350999965,54.2852350999965,54.2852350999965,54.2852350999965,54.2852350999965,54.2852350999965,54.2852350999965,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
23.8,24.0,5,0.0,Stimuli\Blank.png,0,0,0,24,24,24,,,,,,,,,,,,,23.81955850000668,0.019558500006677804,None,,55.06925069999852,55.06925069999852,55.06925069999852,55.06925069999852,55.06925069999852,55.06925069999852,55.06925069999852,55.06925069999852,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
24.0,24.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Shirt_00001.png,0,0,0,25,25,25,,,,,,,,,,,,,24.003453600002103,0.003453600002103485,None,,55.25279909999517,55.25279909999517,55.25279909999517,55.25279909999517,55.25279909999517,55.25279909999517,55.25279909999517,55.25279909999517,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
24.8,25.0,5,0.0,Stimuli\Blank.png,0,0,0,26,26,26,,,,,,,,,,,,,24.804529400003958,0.004529400003956852,None,,56.053464099997655,56.053464099997655,56.053464099997655,56.053464099997655,56.053464099997655,56.053464099997655,56.053464099997655,56.053464099997655,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
25.0,25.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Bench_00001.png,0,0,0,27,27,27,,,,,,,,,,,,,25.005513800002518,0.00551380000251811,None,,56.270307399994635,56.270307399994635,56.270307399994635,56.270307399994635,56.270307399994635,56.270307399994635,56.270307399994635,56.270307399994635,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
25.8,26.0,5,0.0,Stimuli\Blank.png,0,0,0,28,28,28,,,,,,,,,,,,,25.821433000004617,0.021433000004616787,None,,57.071009599996614,57.071009599996614,57.071009599996614,57.071009599996614,57.071009599996614,57.071009599996614,57.071009599996614,57.071009599996614,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
26.0,26.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_ComputerMouse_00001.png,0,0,0,29,29,29,,,,,,,,,,,,,26.0045237000013,0.004523700001300313,None,,57.25450369999453,57.25450369999453,57.25450369999453,57.25450369999453,57.25450369999453,57.25450369999453,57.25450369999453,57.25450369999453,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
26.8,27.0,5,0.0,Stimuli\Blank.png,0,0,0,30,30,30,,,,,,,,,,,,,26.80566190000536,0.00566190000536082,None,,58.05522519999795,58.05522519999795,58.05522519999795,58.05522519999795,58.05522519999795,58.05522519999795,58.05522519999795,58.05522519999795,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
27.0,27.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Bottle_00001.png,0,0,0,31,31,31,,,,,,,,,,,,,27.006682100000035,0.006682100000034552,None,,58.27208909999899,58.27208909999899,58.27208909999899,58.27208909999899,58.27208909999899,58.27208909999899,58.27208909999899,58.27208909999899,001,P001,2025_Jan_17_1836,CategoryLocalizer,2021.2.3,59.9431978267469,
