eventStartTime,eventEndTime,eventCond,imSize,imFile,repeatedImage,responseEvent,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.rt,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationInside.started,fixationInside.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,20.876750299999912,None,1,9.425429600001735,20.876750299999912,None,,,,,,,,,,,,,,,,,,,001,P003,2025_Jan_18_1131,CategoryLocalizer,2021.2.3,59.94632406140874,
,,,,,,,,,,,,,,,,,30.306294299998626,5,15.756776499998523,30.319277599999623,None,,,,,,,,,,,,,,001,P003,2025_Jan_18_1131,CategoryLocalizer,2021.2.3,59.94632406140874,
0.0,12.0,0,0.0,Stimuli\Blank.png,0,0,0,0,0,0,,,,,,,,,,,,46.0864318999993,0.06640490000063437,0.06640490000063437,5,11.909560100000817,46.16656349999903,None,46.16656349999903,None,46.16656349999903,None,46.16656349999903,None,001,P003,2025_Jan_18_1131,CategoryLocalizer,2021.2.3,59.94632406140874,
12.0,12.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_ComputerMouse_00001.png,0,0,0,1,1,1,,,,,,,,,,,,,12.011250499999733,0.01125049999973271,None,,58.11045629999899,58.11045629999899,58.11045629999899,58.11045629999899,58.11045629999899,58.11045629999899,58.11045629999899,58.11045629999899,001,P003,2025_Jan_18_1131,CategoryLocalizer,2021.2.3,59.94632406140874,
12.8,13.0,5,0.0,Stimuli\Blank.png,0,0,0,2,2,2,,,,,,,,,,,,,12.812651500000356,0.012651500000355753,None,,58.9278448999994,58.9278448999994,58.9278448999994,58.9278448999994,58.9278448999994,58.9278448999994,58.9278448999994,58.9278448999994,001,P003,2025_Jan_18_1131,CategoryLocalizer,2021.2.3,59.94632406140874,
13.0,13.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Football_00001.png,0,0,0,3,3,3,,,,,,,,,,,,,13.027829399999973,0.027829399999973248,None,,59.144670899999255,59.144670899999255,59.144670899999255,59.144670899999255,59.144670899999255,59.144670899999255,59.144670899999255,59.144670899999255,001,P003,2025_Jan_18_1131,CategoryLocalizer,2021.2.3,59.94632406140874,
13.8,14.0,5,0.0,Stimuli\Blank.png,0,0,0,4,4,4,,,,,,,,,,,,,13.828420800000458,0.028420800000457547,5,0.14728459999969346,59.928689999998824,59.928689999998824,59.928689999998824,59.928689999998824,59.928689999998824,59.928689999998824,59.928689999998824,59.928689999998824,001,P003,2025_Jan_18_1131,CategoryLocalizer,2021.2.3,59.94632406140874,
14.0,14.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_GarbageCan_00001.png,0,0,0,5,5,5,,,,,,,,,,,,,14.013420600000245,0.013420600000245031,None,,60.12886239999898,60.12886239999898,60.12886239999898,60.12886239999898,60.12886239999898,60.12886239999898,60.12886239999898,60.12886239999898,001,P003,2025_Jan_18_1131,CategoryLocalizer,2021.2.3,59.94632406140874,
14.8,15.0,5,0.0,Stimuli\Blank.png,0,0,0,6,6,6,,,,,,,,,,,,,14.828326800001378,0.028326800001376995,None,,60.92956139999842,60.92956139999842,60.92956139999842,60.92956139999842,60.92956139999842,60.92956139999842,60.92956139999842,60.92956139999842,001,P003,2025_Jan_18_1131,CategoryLocalizer,2021.2.3,59.94632406140874,
15.0,15.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Card_00001.png,0,0,0,7,7,7,,,,,,,,,,,,,15.012538200000563,0.012538200000562938,None,,61.113052900000184,61.113052900000184,61.113052900000184,61.113052900000184,61.113052900000184,61.113052900000184,61.113052900000184,61.113052900000184,001,P003,2025_Jan_18_1131,CategoryLocalizer,2021.2.3,59.94632406140874,
