eventStartTime,eventEndTime,eventCond,imSize,imFile,repeatedImage,responseEvent,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationInside.started,fixationInside.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,11.351972399999795,None,1,21.12047249999887,11.351972399999795,None,,,,,,,,,,,,,,,,,,001,P015,2025_Feb_28_1729,CategoryLocalizer,2021.2.3,59.95581256514001,
,,,,,,,,,,,,,,,,,32.48466589999953,5,0.6144533000006049,32.49787129999822,None,,,,,,,,,,,,,001,P015,2025_Feb_28_1729,CategoryLocalizer,2021.2.3,59.95581256514001,
0.0,12.0,0,0.0,Stimuli\Blank.png,0,0,0,0,0,0,,,,,,,,,,,,33.11944310000035,0.048438999998325016,0.048438999998325016,None,33.181774399999995,None,33.181774399999995,None,33.181774399999995,None,33.181774399999995,None,001,P015,2025_Feb_28_1729,CategoryLocalizer,2021.2.3,59.95581256514001,
12.0,12.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Table_00001.png,0,0,0,1,1,1,,,,,,,,,,,,,12.010747599997558,0.0107475999975577,None,45.14263360000041,45.14263360000041,45.14263360000041,45.14263360000041,45.14263360000041,45.14263360000041,45.14263360000041,45.14263360000041,001,P015,2025_Feb_28_1729,CategoryLocalizer,2021.2.3,59.95581256514001,
12.8,13.0,5,0.0,Stimuli\Blank.png,0,0,0,2,2,2,,,,,,,,,,,,,12.809742599998572,0.009742599998570967,None,45.94326539999747,45.94326539999747,45.94326539999747,45.94326539999747,45.94326539999747,45.94326539999747,45.94326539999747,45.94326539999747,001,P015,2025_Feb_28_1729,CategoryLocalizer,2021.2.3,59.95581256514001,
13.0,13.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Dryer_00001.png,0,0,0,3,3,3,,,,,,,,,,,,,13.009278800000175,0.00927880000017467,None,46.143443999997544,46.143443999997544,46.143443999997544,46.143443999997544,46.143443999997544,46.143443999997544,46.143443999997544,46.143443999997544,001,P015,2025_Feb_28_1729,CategoryLocalizer,2021.2.3,59.95581256514001,
13.8,14.0,5,0.0,Stimuli\Blank.png,0,0,0,4,4,4,,,,,,,,,,,,,13.812763999998424,0.012763999998423259,None,46.96083219999855,46.96083219999855,46.96083219999855,46.96083219999855,46.96083219999855,46.96083219999855,46.96083219999855,46.96083219999855,001,P015,2025_Feb_28_1729,CategoryLocalizer,2021.2.3,59.95581256514001,
14.0,14.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Bench_00001.png,0,0,0,5,5,5,,,,,,,,,,,,,14.02740939999785,0.027409399997850414,None,47.16101349999735,47.16101349999735,47.16101349999735,47.16101349999735,47.16101349999735,47.16101349999735,47.16101349999735,47.16101349999735,001,P015,2025_Feb_28_1729,CategoryLocalizer,2021.2.3,59.95581256514001,
14.8,15.0,5,0.0,Stimuli\Blank.png,0,0,0,6,6,6,,,,,,,,,,,,,14.813823799999227,0.013823799999226338,None,47.96172079999815,47.96172079999815,47.96172079999815,47.96172079999815,47.96172079999815,47.96172079999815,47.96172079999815,47.96172079999815,001,P015,2025_Feb_28_1729,CategoryLocalizer,2021.2.3,59.95581256514001,
15.0,15.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Chest_00001.png,0,0,0,7,7,7,,,,,,,,,,,,,15.029144399999495,0.029144399999495363,None,48.178589200000715,48.178589200000715,48.178589200000715,48.178589200000715,48.178589200000715,48.178589200000715,48.178589200000715,48.178589200000715,001,P015,2025_Feb_28_1729,CategoryLocalizer,2021.2.3,59.95581256514001,
