eventStartTime,eventEndTime,eventCond,imSize,imFile,repeatedImage,responseEvent,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationInside.started,fixationInside.stopped,participantResponse.rt,session,participant,date,expName,psychopyVersion,frameRate,
18.8,19.0,5,0.0,Stimuli\Blank.png,0,0,0,14,14,14,,,,,,,,,,,,,18.832075599995733,0.03207559999573206,None,53.652471699999296,53.652471699999296,53.652471699999296,53.652471699999296,53.652471699999296,53.652471699999296,53.652471699999296,53.652471699999296,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
19.0,19.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Bottle_00001.png,0,0,0,15,15,15,,,,,,,,,,,,,19.015689799998654,0.015689799998654053,None,53.8359408000033,53.8359408000033,53.8359408000033,53.8359408000033,53.8359408000033,53.8359408000033,53.8359408000033,53.8359408000033,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
19.8,20.0,5,0.0,Stimuli\Blank.png,0,0,0,16,16,16,,,,,,,,,,,,,19.800205200001074,0.000205200001072825,None,54.62001610000152,54.62001610000152,54.62001610000152,54.62001610000152,54.62001610000152,54.62001610000152,54.62001610000152,54.62001610000152,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
20.0,20.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Pizza_00001.png,0,0,0,17,17,17,,,,,,,,,,,,,20.000887099995452,0.000887099995452445,None,54.83685010000045,54.83685010000045,54.83685010000045,54.83685010000045,54.83685010000045,54.83685010000045,54.83685010000045,54.83685010000045,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
20.8,21.0,5,0.0,Stimuli\Blank.png,0,0,0,18,18,18,,,,,,,,,,,,,20.81645489999937,0.016454899999370554,None,55.63756220000505,55.63756220000505,55.63756220000505,55.63756220000505,55.63756220000505,55.63756220000505,55.63756220000505,55.63756220000505,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
21.0,21.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Tool_00001.png,0,0,0,19,19,19,,,,,,,,,,,,,21.000689899999998,0.0006898999999975786,None,55.837743100004445,55.837743100004445,55.837743100004445,55.837743100004445,55.837743100004445,55.837743100004445,55.837743100004445,55.837743100004445,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
21.8,22.0,5,0.0,Stimuli\Blank.png,0,0,0,20,20,20,,,,,,,,,,,,,21.81815379999898,0.018153799998980702,None,56.638442399998894,56.638442399998894,56.638442399998894,56.638442399998894,56.638442399998894,56.638442399998894,56.638442399998894,56.638442399998894,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
22.0,22.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_FileFolder_00001.png,0,0,0,21,21,21,,,,,,,,,,,,,22.000713800000085,0.0007138000000850298,None,56.82190360000095,56.82190360000095,56.82190360000095,56.82190360000095,56.82190360000095,56.82190360000095,56.82190360000095,56.82190360000095,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
22.8,23.0,5,0.0,Stimuli\Blank.png,0,0,0,22,22,22,,,,,,,,,,,,,22.80142060000071,0.0014206000007099817,None,57.62261310000031,57.62261310000031,57.62261310000031,57.62261310000031,57.62261310000031,57.62261310000031,57.62261310000031,57.62261310000031,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
23.0,23.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_ComputerMouse_00001.png,0,0,0,23,23,23,,,,,,,,,,,,,23.002422699995805,0.002422699995804578,None,57.82281740000326,57.82281740000326,57.82281740000326,57.82281740000326,57.82281740000326,57.82281740000326,57.82281740000326,57.82281740000326,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
23.8,24.0,5,0.0,Stimuli\Blank.png,0,0,0,24,24,24,,,,,,,,,,,,,23.80365819999861,0.003658199998607614,None,58.62360610000178,58.62360610000178,58.62360610000178,58.62360610000178,58.62360610000178,58.62360610000178,58.62360610000178,58.62360610000178,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
24.0,24.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Dryer_00001.png,0,0,0,25,25,25,,,,,,,,,,,,,24.003736200000276,0.0037362000002758577,None,58.840453400000115,58.840453400000115,58.840453400000115,58.840453400000115,58.840453400000115,58.840453400000115,58.840453400000115,58.840453400000115,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
24.8,25.0,5,0.0,Stimuli\Blank.png,0,0,0,26,26,26,,,,,,,,,,,,,24.820768599995063,0.020768599995061976,None,59.64112120000209,59.64112120000209,59.64112120000209,59.64112120000209,59.64112120000209,59.64112120000209,59.64112120000209,59.64112120000209,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
25.0,25.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Shirt_00001.png,0,0,0,27,27,27,,,,,,,,,,,,,25.005362600000808,0.0053626000008080155,None,59.841271700002835,59.841271700002835,59.841271700002835,59.841271700002835,59.841271700002835,59.841271700002835,59.841271700002835,59.841271700002835,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
25.8,26.0,5,0.0,Stimuli\Blank.png,0,0,0,28,28,28,,,,,,,,,,,,,25.821574999994482,0.021574999994481203,None,60.64198570000008,60.64198570000008,60.64198570000008,60.64198570000008,60.64198570000008,60.64198570000008,60.64198570000008,60.64198570000008,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
26.0,26.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Pipe_00001.png,0,0,0,29,29,29,,,,,,,,,,,,,26.005082499999844,0.0050824999998440035,None,60.82543480000459,60.82543480000459,60.82543480000459,60.82543480000459,60.82543480000459,60.82543480000459,60.82543480000459,60.82543480000459,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
26.8,27.0,5,0.0,Stimuli\Blank.png,0,0,0,30,30,30,,,,,,,,,,,,,26.806013299996266,0.006013299996265431,None,61.626144800000475,61.626144800000475,61.626144800000475,61.626144800000475,61.626144800000475,61.626144800000475,61.626144800000475,61.626144800000475,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
27.0,27.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Bed_00001.png,0,0,0,31,31,31,,,,,,,,,,,,,27.005731299999752,0.005731299999752082,None,61.84307080000144,61.84307080000144,61.84307080000144,61.84307080000144,61.84307080000144,61.84307080000144,61.84307080000144,61.84307080000144,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
27.8,28.0,5,0.0,Stimuli\Blank.png,0,0,0,32,32,32,,,,,,,,,,,,,27.822660999998334,0.022660999998333153,None,62.64376830000401,62.64376830000401,62.64376830000401,62.64376830000401,62.64376830000401,62.64376830000401,62.64376830000401,62.64376830000401,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
