subject,runtype,smoothing,median_rel,mean_rel,ROI,run
01,miniblock,unsmoothed,0.06665678957500788,0.07102089211831476,visually_responsive_voxels,1
01,miniblock,unsmoothed,0.05907504761021537,0.06432086805971153,visually_responsive_voxels,2
01,miniblock,unsmoothed,0.02731298886374111,0.03293119659297386,visually_responsive_voxels,3
01,miniblock,sm_2_vox,0.07047528378829121,0.08963257703028774,visually_responsive_voxels,1
01,miniblock,sm_2_vox,0.0829265680374443,0.10450192294935053,visually_responsive_voxels,2
01,miniblock,sm_2_vox,0.054467202904486006,0.07577568919311041,visually_responsive_voxels,3
01,sus,unsmoothed,0.03386016643985483,0.03701491934267059,visually_responsive_voxels,1
01,sus,unsmoothed,0.04426730585527985,0.05075335048148075,visually_responsive_voxels,2
01,sus,unsmoothed,0.024421748844064867,0.028152450458391896,visually_responsive_voxels,3
01,sus,sm_2_vox,0.06155612879916233,0.06894912536028422,visually_responsive_voxels,1
01,sus,sm_2_vox,0.08608954497674925,0.10124520704479398,visually_responsive_voxels,2
01,sus,sm_2_vox,0.05934551458191348,0.0688658530821879,visually_responsive_voxels,3
01,er,unsmoothed,0.00029188266713109715,0.0020516195442665357,visually_responsive_voxels,1
01,er,unsmoothed,-0.010933581247702027,-0.011525367768588889,visually_responsive_voxels,2
01,er,unsmoothed,-0.021916098864737305,-0.021253555541604272,visually_responsive_voxels,3
01,er,sm_2_vox,0.025736692428870667,0.027191136846424015,visually_responsive_voxels,1
01,er,sm_2_vox,-0.0048749989101274935,-0.00553072195508333,visually_responsive_voxels,2
01,er,sm_2_vox,0.002297007469571356,0.00657106765804143,visually_responsive_voxels,3
01,miniblock,unsmoothed,0.11832568994512765,0.12229694794733928,FFA,1
01,miniblock,unsmoothed,0.13738915606114074,0.128371919806487,FFA,2
01,miniblock,unsmoothed,0.17191717337047058,0.14248675753354034,FFA,3
01,miniblock,sm_2_vox,0.3086172908942817,0.3063155479857397,FFA,1
01,miniblock,sm_2_vox,0.3207988669470069,0.29230091504156686,FFA,2
01,miniblock,sm_2_vox,0.31799556989648986,0.30770779119742697,FFA,3
01,sus,unsmoothed,0.10153724496973893,0.09795950121121538,FFA,1
01,sus,unsmoothed,0.11248545771420916,0.13306040451391796,FFA,2
01,sus,unsmoothed,0.08147705093662996,0.09179910064755238,FFA,3
01,sus,sm_2_vox,0.25020363488468944,0.22741413420231907,FFA,1
01,sus,sm_2_vox,0.32034792006133933,0.2792991761426997,FFA,2
01,sus,sm_2_vox,0.22425171352533038,0.2165953757386382,FFA,3
01,er,unsmoothed,0.03330197778320064,0.04640544755874796,FFA,1
01,er,unsmoothed,-0.025503377790973975,-0.022989212117646998,FFA,2
01,er,unsmoothed,-0.009033734135031182,0.00990837218573713,FFA,3
01,er,sm_2_vox,0.1463555611600981,0.1480557719620107,FFA,1
01,er,sm_2_vox,0.03647666431140778,0.023323278344941183,FFA,2
01,er,sm_2_vox,0.13386978072237815,0.12933645015091533,FFA,3
01,miniblock,unsmoothed,0.04292119021383338,0.03654666231214352,PPA,1
01,miniblock,unsmoothed,0.0451040655577287,0.02894611767377511,PPA,2
01,miniblock,unsmoothed,0.007503535651756682,0.0003409212945382574,PPA,3
01,miniblock,sm_2_vox,0.10367219033815922,0.08936609692954388,PPA,1
01,miniblock,sm_2_vox,0.019845373883302042,0.01507533563305819,PPA,2
01,miniblock,sm_2_vox,0.011947668902853176,0.029278640839936854,PPA,3
01,sus,unsmoothed,0.03142226807413872,0.031347216664806214,PPA,1
01,sus,unsmoothed,0.018371722645318875,0.01149567535733947,PPA,2
01,sus,unsmoothed,0.03770385275394448,0.04818313439579549,PPA,3
01,sus,sm_2_vox,0.10111403291701551,0.1095548282851859,PPA,1
01,sus,sm_2_vox,0.04341938633023836,0.06828925387552064,PPA,2
