,ROI,Design,Subject,Accuracy,group
87,visually_responsive_voxels,sus,11,75.55555725097656,isanimate
88,visually_responsive_voxels,sus,11,73.33333587646484,inanimate
89,visually_responsive_voxels,sus,11,77.71929931640625,scene
90,visually_responsive_voxels,sus,12,67.59259033203125,isanimate
91,visually_responsive_voxels,sus,12,79.62963104248047,inanimate
92,visually_responsive_voxels,sus,12,71.92982482910156,scene
93,visually_responsive_voxels,sus,13,56.48147964477539,isanimate
94,visually_responsive_voxels,sus,13,56.66666793823242,inanimate
95,visually_responsive_voxels,sus,13,49.8684196472168,scene
96,visually_responsive_voxels,sus,14,58.88888931274414,isanimate
97,visually_responsive_voxels,sus,14,69.62963104248047,inanimate
98,visually_responsive_voxels,sus,14,65.2631607055664,scene
99,visually_responsive_voxels,sus,15,75.9259262084961,isanimate
100,visually_responsive_voxels,sus,15,89.0740737915039,inanimate
101,visually_responsive_voxels,sus,15,78.59648895263672,scene
102,visually_responsive_voxels,sus,17,57.77777862548828,isanimate
103,visually_responsive_voxels,sus,17,54.25925827026367,inanimate
104,visually_responsive_voxels,sus,17,56.00877380371094,scene
105,visually_responsive_voxels,sus,18,89.62963104248047,isanimate
106,visually_responsive_voxels,sus,18,86.48148345947266,inanimate
107,visually_responsive_voxels,sus,18,83.50877380371094,scene
108,visually_responsive_voxels,sus,19,61.66666793823242,isanimate
109,visually_responsive_voxels,sus,19,66.66666412353516,inanimate
110,visually_responsive_voxels,sus,19,61.66666793823242,scene
111,visually_responsive_voxels,sus,20,67.59259033203125,isanimate
112,visually_responsive_voxels,sus,20,68.70370483398438,inanimate
113,visually_responsive_voxels,sus,20,63.20175552368164,scene
114,visually_responsive_voxels,sus,21,63.703704833984375,isanimate
115,visually_responsive_voxels,sus,21,72.03704071044922,inanimate
116,visually_responsive_voxels,sus,21,70.39473724365234,scene
117,visually_responsive_voxels,sus,22,76.85185241699219,isanimate
118,visually_responsive_voxels,sus,22,85.18518829345703,inanimate
119,visually_responsive_voxels,sus,22,81.14035034179688,scene
120,visually_responsive_voxels,er,01,54.62963104248047,isanimate
121,visually_responsive_voxels,er,01,58.51852035522461,inanimate
122,visually_responsive_voxels,er,01,47.5,scene
123,visually_responsive_voxels,er,02,61.66666793823242,isanimate
124,visually_responsive_voxels,er,02,65.9259262084961,inanimate
125,visually_responsive_voxels,er,02,62.85087585449219,scene
126,visually_responsive_voxels,er,03,54.814815521240234,isanimate
127,visually_responsive_voxels,er,03,50.0,inanimate
128,visually_responsive_voxels,er,03,57.3684196472168,scene
129,visually_responsive_voxels,er,04,53.88888931274414,isanimate
130,visually_responsive_voxels,er,04,53.703704833984375,inanimate
131,visually_responsive_voxels,er,04,54.03508758544922,scene
132,visually_responsive_voxels,er,05,61.48147964477539,isanimate
133,visually_responsive_voxels,er,05,57.592594146728516,inanimate
134,visually_responsive_voxels,er,05,54.6929817199707,scene
135,visually_responsive_voxels,er,06,62.407405853271484,isanimate
136,visually_responsive_voxels,er,06,45.185184478759766,inanimate
137,visually_responsive_voxels,er,06,55.657894134521484,scene
138,visually_responsive_voxels,er,07,56.66666793823242,isanimate
139,visually_responsive_voxels,er,07,62.03703689575195,inanimate
140,visually_responsive_voxels,er,07,52.105262756347656,scene
141,visually_responsive_voxels,er,08,59.25925827026367,isanimate
142,visually_responsive_voxels,er,08,49.074073791503906,inanimate
143,visually_responsive_voxels,er,08,55.70175552368164,scene
144,visually_responsive_voxels,er,10,49.814815521240234,isanimate
145,visually_responsive_voxels,er,10,63.703704833984375,inanimate
146,visually_responsive_voxels,er,10,63.28947448730469,scene
147,visually_responsive_voxels,er,11,67.03704071044922,isanimate
148,visually_responsive_voxels,er,11,65.37036895751953,inanimate
149,visually_responsive_voxels,er,11,56.622806549072266,scene
150,visually_responsive_voxels,er,12,45.74074172973633,isanimate
151,visually_responsive_voxels,er,12,53.33333206176758,inanimate
152,visually_responsive_voxels,er,12,58.28947448730469,scene
153,visually_responsive_voxels,er,13,64.81481170654297,isanimate
154,visually_responsive_voxels,er,13,60.37036895751953,inanimate
155,visually_responsive_voxels,er,13,51.842105865478516,scene
156,visually_responsive_voxels,er,14,65.74073791503906,isanimate
157,visually_responsive_voxels,er,14,55.185184478759766,inanimate
158,visually_responsive_voxels,er,14,54.21052551269531,scene
159,visually_responsive_voxels,er,15,48.33333206176758,isanimate
160,visually_responsive_voxels,er,15,69.25926208496094,inanimate
161,visually_responsive_voxels,er,15,61.622806549072266,scene
162,visually_responsive_voxels,er,17,51.66666793823242,isanimate
163,visually_responsive_voxels,er,17,51.85185241699219,inanimate
164,visually_responsive_voxels,er,17,55.78947448730469,scene
165,visually_responsive_voxels,er,18,67.22222137451172,isanimate
166,visually_responsive_voxels,er,18,56.48147964477539,inanimate
167,visually_responsive_voxels,er,18,62.105262756347656,scene
168,visually_responsive_voxels,er,19,56.66666793823242,isanimate
169,visually_responsive_voxels,er,19,57.77777862548828,inanimate
170,visually_responsive_voxels,er,19,58.72806930541992,scene
171,visually_responsive_voxels,er,20,58.14814758300781,isanimate
172,visually_responsive_voxels,er,20,48.14814758300781,inanimate
173,visually_responsive_voxels,er,20,53.50877380371094,scene
174,visually_responsive_voxels,er,21,63.51852035522461,isanimate
