,ROI,Design,Subject,Accuracy
122,PPA,miniblock,03,59.31623840332031
123,PPA,miniblock,04,53.49359130859375
124,PPA,miniblock,05,55.267093658447266
125,PPA,miniblock,06,50.97222137451172
126,PPA,miniblock,07,58.985042572021484
127,PPA,miniblock,08,62.7029914855957
128,PPA,miniblock,10,64.4017105102539
129,PPA,miniblock,11,59.05982971191406
130,PPA,miniblock,12,56.66666793823242
131,PPA,miniblock,13,58.376068115234375
132,PPA,miniblock,14,57.86324691772461
133,PPA,miniblock,15,56.94444274902344
134,PPA,miniblock,17,50.03205108642578
135,PPA,miniblock,18,57.16880416870117
136,PPA,miniblock,19,52.46794891357422
137,PPA,miniblock,20,54.978633880615234
138,PPA,miniblock,21,52.617523193359375
139,PPA,miniblock,22,65.03205108642578
140,PPA,sus,01,56.03632354736328
141,PPA,sus,02,52.91666793823242
142,PPA,sus,03,55.86538314819336
143,PPA,sus,04,51.66666793823242
144,PPA,sus,05,50.149574279785156
145,PPA,sus,06,56.912391662597656
146,PPA,sus,07,59.380340576171875
147,PPA,sus,08,63.35470199584961
148,PPA,sus,10,62.094017028808594
149,PPA,sus,11,56.591880798339844
150,PPA,sus,12,56.35683822631836
151,PPA,sus,13,56.271366119384766
152,PPA,sus,14,55.0427360534668
153,PPA,sus,15,59.86111068725586
154,PPA,sus,17,53.408119201660156
155,PPA,sus,18,61.741451263427734
156,PPA,sus,19,53.878204345703125
157,PPA,sus,20,56.68803405761719
158,PPA,sus,21,51.78418731689453
159,PPA,sus,22,63.75
160,PPA,er,01,51.64529800415039
161,PPA,er,02,50.77991485595703
162,PPA,er,03,54.380340576171875
163,PPA,er,04,53.61111068725586
164,PPA,er,05,49.412391662597656
165,PPA,er,06,48.878204345703125
166,PPA,er,07,52.63888931274414
167,PPA,er,08,51.72008514404297
168,PPA,er,10,55.117523193359375
169,PPA,er,11,55.908119201660156
170,PPA,er,12,56.591880798339844
171,PPA,er,13,55.619659423828125
172,PPA,er,14,52.04059982299805
173,PPA,er,15,54.93589782714844
174,PPA,er,17,51.0042724609375
175,PPA,er,18,57.89529800415039
176,PPA,er,19,50.57692337036133
