,subject,runtype,smoothing,median_nc,mean_nc,ROI
0,01,miniblock,unsmoothed,0.3807782161059595,0.34125213675744387,visually_responsive_voxels
1,01,miniblock,unsmoothed,0.6288728577760857,0.5533565017118635,FFA
2,01,miniblock,unsmoothed,0.26958981869763066,0.26613846572059513,PPA
3,01,miniblock,unsmoothed,0.46801455557971544,0.4208600556533221,EBA
4,01,miniblock,unsmoothed,0.4682309972972206,0.4201452940970795,EVC
5,01,miniblock,sm_2_vox,0.42654773567466125,0.40755860737072513,visually_responsive_voxels
6,01,miniblock,sm_2_vox,0.8560377706384726,0.7578123165545332,FFA
7,01,miniblock,sm_2_vox,0.5185452146377918,0.41870643696347415,PPA
8,01,miniblock,sm_2_vox,0.6722194194196871,0.5948803673217539,EBA
9,01,miniblock,sm_2_vox,0.6068321556476655,0.5407095495653895,EVC
10,01,sus,unsmoothed,0.2905241629401448,0.28621919048992595,visually_responsive_voxels
11,01,sus,unsmoothed,0.6076179453269969,0.5264940507541326,FFA
12,01,sus,unsmoothed,0.34252866986836017,0.283104595235857,PPA
13,01,sus,unsmoothed,0.3828327534923453,0.3474453016276884,EBA
14,01,sus,unsmoothed,0.428899675397849,0.39148920613644494,EVC
15,01,sus,sm_2_vox,0.38894852976488864,0.3647610723482047,visually_responsive_voxels
16,01,sus,sm_2_vox,0.8270490828676533,0.729070347545958,FFA
17,01,sus,sm_2_vox,0.5712672592059147,0.5066199459790273,PPA
18,01,sus,sm_2_vox,0.5828928200796244,0.5174780515396823,EBA
19,01,sus,sm_2_vox,0.5968593813707272,0.5389118726295308,EVC
20,01,er,unsmoothed,0.0,0.18679568386045095,visually_responsive_voxels
21,01,er,unsmoothed,0.3720653074083399,0.3129570023109632,FFA
22,01,er,unsmoothed,0.0,0.1977024609483784,PPA
23,01,er,unsmoothed,0.13257444228973028,0.208673416065757,EBA
24,01,er,unsmoothed,0.10185852552183987,0.21021202980629258,EVC
25,01,er,sm_2_vox,0.2876916334916621,0.27464616703830647,visually_responsive_voxels
26,01,er,sm_2_vox,0.6244357309348818,0.5762638121989535,FFA
27,01,er,sm_2_vox,0.15433510332263378,0.22776750051578737,PPA
28,01,er,sm_2_vox,0.36792562721259964,0.33156681231605983,EBA
29,01,er,sm_2_vox,0.38704927265380784,0.3424966439726276,EVC
30,02,miniblock,unsmoothed,0.38677782677157624,0.3451435042471116,visually_responsive_voxels
31,02,miniblock,unsmoothed,0.4820001210740498,0.4510498333742697,FFA
32,02,miniblock,unsmoothed,0.3002269189600152,0.2647271985606918,PPA
33,02,miniblock,unsmoothed,0.5066762447968246,0.4524435949908978,EBA
34,02,miniblock,unsmoothed,0.4692474487625854,0.41888264405308256,EVC
35,02,miniblock,sm_2_vox,0.4291482676255976,0.3986491029937661,visually_responsive_voxels
36,02,miniblock,sm_2_vox,0.8755176934816823,0.763328775847115,FFA
37,02,miniblock,sm_2_vox,0.5849675309152506,0.565582265436742,PPA
38,02,miniblock,sm_2_vox,0.7158287399805068,0.6332946627857331,EBA
39,02,miniblock,sm_2_vox,0.5738986379875635,0.533083515444066,EVC
40,02,sus,unsmoothed,0.24381068783574328,0.27029176523020976,visually_responsive_voxels
41,02,sus,unsmoothed,0.4672239607625406,0.426511011296118,FFA
42,02,sus,unsmoothed,0.35747407884190235,0.2885635547331325,PPA
43,02,sus,unsmoothed,0.4041568486724553,0.37258877145234365,EBA
44,02,sus,unsmoothed,0.41124378700182085,0.38303602231973377,EVC
45,02,sus,sm_2_vox,0.38436631341260863,0.3696803172444059,visually_responsive_voxels
46,02,sus,sm_2_vox,0.8650349697920295,0.7905261239786519,FFA
47,02,sus,sm_2_vox,0.2917015141509862,0.2749485211855617,PPA
48,02,sus,sm_2_vox,0.6623864288247775,0.6070726322253427,EBA
49,02,sus,sm_2_vox,0.564271972877222,0.5183098571726868,EVC
50,02,er,unsmoothed,0.25318820603605363,0.25155126862662014,visually_responsive_voxels
51,02,er,unsmoothed,0.4263985787209299,0.36442670784810766,FFA
52,02,er,unsmoothed,0.26046921430926834,0.2452991690617421,PPA
53,02,er,unsmoothed,0.35580116090761427,0.3144869905934144,EBA
54,02,er,unsmoothed,0.3358317158798685,0.3047072056799501,EVC
55,02,er,sm_2_vox,0.3109295681939185,0.29714133410601945,visually_responsive_voxels
56,02,er,sm_2_vox,0.7328687314098672,0.6610938389852524,FFA
57,02,er,sm_2_vox,0.26233958087998643,0.24863782933579975,PPA
58,02,er,sm_2_vox,0.5304717977905533,0.47386811123857286,EBA
59,02,er,sm_2_vox,0.4148243020567774,0.38164593312372175,EVC
60,03,miniblock,unsmoothed,0.08150106669104798,0.20711725979476406,visually_responsive_voxels
61,03,miniblock,unsmoothed,0.33010623419502644,0.3084967314846039,FFA
62,03,miniblock,unsmoothed,0.22033968614250243,0.27628270535723837,PPA
63,03,miniblock,unsmoothed,0.24132490474784885,0.2569739408626285,EBA
64,03,miniblock,unsmoothed,0.28372417949945206,0.2837019062707744,EVC
65,03,miniblock,sm_2_vox,0.2716624359435784,0.2800329269849543,visually_responsive_voxels
66,03,miniblock,sm_2_vox,0.5585102447301596,0.5007431449631626,FFA
67,03,miniblock,sm_2_vox,0.5380603690908043,0.4686989932464077,PPA
68,03,miniblock,sm_2_vox,0.5562814779654914,0.47479677065754355,EBA
69,03,miniblock,sm_2_vox,0.5123889696229743,0.44649324459429796,EVC
70,03,sus,unsmoothed,0.025025330959043576,0.20181961499478035,visually_responsive_voxels
71,03,sus,unsmoothed,0.31328712118120383,0.2994576615078599,FFA
72,03,sus,unsmoothed,0.15745090981658624,0.21090774138882845,PPA
73,03,sus,unsmoothed,0.18167438951172288,0.23433461848680734,EBA
74,03,sus,unsmoothed,0.22944004185803193,0.25887439624812586,EVC
75,03,sus,sm_2_vox,0.2539542689536131,0.26324446334526214,visually_responsive_voxels
76,03,sus,sm_2_vox,0.5666257283338644,0.4971999892817341,FFA
77,03,sus,sm_2_vox,0.35110353581483544,0.31851459497110285,PPA
78,03,sus,sm_2_vox,0.4192546558483038,0.3898958545831983,EBA
79,03,sus,sm_2_vox,0.41786958555377285,0.3847093661853067,EVC
80,03,er,unsmoothed,0.0,0.17592766787644845,visually_responsive_voxels
81,03,er,unsmoothed,0.23286602731655692,0.2463283777573081,FFA
82,03,er,unsmoothed,0.0,0.16591405480817298,PPA
83,03,er,unsmoothed,0.18447129087330844,0.2193220802833722,EBA
84,03,er,unsmoothed,0.0,0.19604120782074988,EVC
85,03,er,sm_2_vox,0.20812163160551667,0.23400697733945627,visually_responsive_voxels
86,03,er,sm_2_vox,0.5623738041737457,0.48943105430349554,FFA
87,03,er,sm_2_vox,0.2810328402886183,0.28007835541082776,PPA
88,03,er,sm_2_vox,0.378195200330269,0.3353535681876283,EBA
89,03,er,sm_2_vox,0.2751956102227637,0.27306775533871674,EVC
90,04,miniblock,unsmoothed,0.22501966678381052,0.25086903368848695,visually_responsive_voxels
91,04,miniblock,unsmoothed,0.49420563679738017,0.40768538853920805,FFA
92,04,miniblock,unsmoothed,0.1596154621460349,0.2541271610329869,PPA
93,04,miniblock,unsmoothed,0.3906369160306361,0.3464078526928752,EBA
94,04,miniblock,unsmoothed,0.3150834824423964,0.30647153545478883,EVC
95,04,miniblock,sm_2_vox,0.25186512348752577,0.27825611540515766,visually_responsive_voxels
96,04,miniblock,sm_2_vox,0.7332042451217025,0.6466918676435567,FFA
97,04,miniblock,sm_2_vox,0.31727349142605904,0.2980378926251292,PPA
98,04,miniblock,sm_2_vox,0.5182962577326768,0.44807014246423643,EBA
99,04,miniblock,sm_2_vox,0.3736611902916931,0.36260500817204366,EVC
100,04,sus,unsmoothed,0.28136549063226335,0.2731470965475337,visually_responsive_voxels
101,04,sus,unsmoothed,0.5068712472317392,0.4495028413784231,FFA
102,04,sus,unsmoothed,0.039961529528825146,0.19415138472204244,PPA
103,04,sus,unsmoothed,0.4112882204985389,0.3695785248538251,EBA
104,04,sus,unsmoothed,0.34149603853018073,0.3109542383045338,EVC
105,04,sus,sm_2_vox,0.33707959319740965,0.3087613430517119,visually_responsive_voxels
106,04,sus,sm_2_vox,0.77187475344351,0.7204373173869549,FFA
107,04,sus,sm_2_vox,0.38591226160348824,0.3262619257685155,PPA
108,04,sus,sm_2_vox,0.5722326023320098,0.5126962844032454,EBA
109,04,sus,sm_2_vox,0.44640427818891176,0.39612840703763785,EVC
110,04,er,unsmoothed,0.12261489464243043,0.20701377303923893,visually_responsive_voxels
111,04,er,unsmoothed,0.239432934513873,0.2521707144651526,FFA
112,04,er,unsmoothed,0.3028287519238989,0.24339867171931542,PPA
113,04,er,unsmoothed,0.16570548973131308,0.2192253760276563,EBA
114,04,er,unsmoothed,0.17087466838059254,0.22348961314251448,EVC
115,04,er,sm_2_vox,0.2523849488808356,0.2543690624389733,visually_responsive_voxels
116,04,er,sm_2_vox,0.5383466001363908,0.4687434296220946,FFA
117,04,er,sm_2_vox,0.39449611320016353,0.32704360297445606,PPA
118,04,er,sm_2_vox,0.4113024181677287,0.35320287664731637,EBA
119,04,er,sm_2_vox,0.39866474078635117,0.3387698923489947,EVC
120,05,miniblock,unsmoothed,0.1828766691522555,0.23882057781292795,visually_responsive_voxels
121,05,miniblock,unsmoothed,0.5631900638286761,0.4824458300091622,FFA
122,05,miniblock,unsmoothed,0.18437244556635113,0.2237308974798846,PPA
123,05,miniblock,unsmoothed,0.320741517992729,0.30772149801208526,EBA
124,05,miniblock,unsmoothed,0.33738276685143853,0.3248855465220489,EVC
125,05,miniblock,sm_2_vox,0.3446324232024619,0.3373526141377458,visually_responsive_voxels
126,05,miniblock,sm_2_vox,0.8309870581559067,0.7615180183803284,FFA
127,05,miniblock,sm_2_vox,0.3903022262414205,0.33253353452559203,PPA
128,05,miniblock,sm_2_vox,0.6740906125062569,0.6065976918638539,EBA
129,05,miniblock,sm_2_vox,0.5316747981112825,0.47623482894584146,EVC
