subject,runtype,smoothing,split,median_reliability,mean_reliability,maximum_reliability,ROI
01,er,unsmoothed,1,0.019792097876915354,0.020427207230734722,0.6535776607772308,visually_responsive_voxels
01,er,unsmoothed,2,-0.01918947736517124,-0.014701327216044082,0.5889986360320644,visually_responsive_voxels
01,er,unsmoothed,3,-0.001369942453992412,0.00035897069763232904,0.6174883381680247,visually_responsive_voxels
01,er,unsmoothed,4,0.00044795384820446593,0.0034463607712740237,0.7158003833278797,visually_responsive_voxels
01,er,unsmoothed,5,-0.006159775622331224,-0.003297842732478601,0.6351588898332688,visually_responsive_voxels
01,er,unsmoothed,6,-0.017264876115140253,-0.013985684649264418,0.6371255131269296,visually_responsive_voxels
01,er,unsmoothed,7,0.009944040721440723,0.01154684830586706,0.6715451297939947,visually_responsive_voxels
01,er,unsmoothed,8,-0.0014599987943956505,0.0009635299717812225,0.5798860871924929,visually_responsive_voxels
01,er,unsmoothed,9,-0.025350347803930688,-0.022201610400206004,0.6205367468394777,visually_responsive_voxels
01,er,unsmoothed,10,0.013272435069089497,0.01564032204133491,0.6528910411077168,visually_responsive_voxels
01,er,sm_2_vox,1,0.052353859511170886,0.0603078574489776,0.7221963064911348,visually_responsive_voxels
01,er,sm_2_vox,2,0.04065260292831677,0.04777386271201791,0.7683551644872897,visually_responsive_voxels
01,er,sm_2_vox,3,0.05682753481294544,0.06019722853167328,0.700687059327803,visually_responsive_voxels
01,er,sm_2_vox,4,0.0607534151610981,0.07159897364046333,0.7495104809092465,visually_responsive_voxels
01,er,sm_2_vox,5,0.0463745164800613,0.05566530566543208,0.7262726438732814,visually_responsive_voxels
01,er,sm_2_vox,6,0.04001367917460999,0.0479744835480904,0.7975906743764296,visually_responsive_voxels
01,er,sm_2_vox,7,0.044468823539503224,0.048446030206449775,0.7283153420347949,visually_responsive_voxels
01,er,sm_2_vox,8,0.05333975784630482,0.06111839084081069,0.7170939021825177,visually_responsive_voxels
01,er,sm_2_vox,9,0.02266141033466011,0.03335931653250459,0.7284396543895183,visually_responsive_voxels
01,er,sm_2_vox,10,0.05458230305318841,0.060862992066361574,0.6954959453374729,visually_responsive_voxels
01,sus,unsmoothed,1,0.061881695814112236,0.07681609750061807,0.9121322610118091,visually_responsive_voxels
01,sus,unsmoothed,2,0.04849817967167287,0.06755104072380902,0.8833713267754134,visually_responsive_voxels
01,sus,unsmoothed,3,0.04550330803536257,0.06285797459279807,0.8642613303308739,visually_responsive_voxels
